192
-113/70 -3/14
-8/5 -8/35
-2797/1750 -198/875
-671/420 -127/560
-311/196 -68/245
-111/70 -17/70
-2769/1750 -417/1750
-166/105 -67/280
-11/7 -9/35
-307/196 -257/980
-2741/1750 -219/875
-187/120 -41/160
-109/70 -6/35
-381/245 -303/980
-54/35 -13/70
-1509/980 -283/980
-376/245 -72/245
-1503/980 -81/245
-429/280 -93/280
-2679/1750 -969/3500
-107/70 -1/5
-373/245 -67/196
-213/140 -9/28
-213/140 -159/560
-372/245 -76/245
-53/35 -139/420
-53/35 -11/35
-189/125 -167/500
-1479/980 -43/196
-211/140 -9/28
-2637/1750 -258/875
-368/245 -16/49
-3/2 -3/10
-1467/980 -227/980
-523/350 -213/700
-1459/980 -92/245
-729/490 -167/490
-52/35 -11/35
-1663/1120 -311/840
-5193/3500 -1301/3500
-89/60 -5/16
-362/245 -123/490
-827/560 -137/420
-723/490 -62/245
-2579/1750 -289/875
-361/245 -87/245
-2577/1750 -561/1750
-72/49 -12/49
-1439/980 -353/980
-22/15 -13/40
-41/28 -12/35
-41/28 -37/140
-1431/980 -179/980
-5101/3500 -44/125
-51/35 -57/140
-51/35 -13/35
-51/35 -37/105
-51/35 -197/560
-51/35 -1/3
-51/35 -93/280
-51/35 -89/280
-51/35 -3/10
-51/35 -41/140
-51/35 -19/70
-51/35 -9/35
-2549/1750 -291/875
-354/245 -139/490
-1213/840 -383/1120
-1413/980 -379/980
-1609/1120 -319/840
-701/490 -73/245
-199/140 -57/140
-199/140 -31/140
-2487/1750 -1257/3500
-793/560 -57/140
-1383/980 -311/980
-7/5 -3/7
-1371/980 -114/245
-1371/980 -323/980
-9493/6860 -772/1715
-2707/1960 -877/1960
-269/196 -114/245
-2347/1715 -789/1715
-334/245 -114/245
-267/196 -55/196
-19/14 -57/140
-4623/3430 -2841/6860
-657/490 -57/140
-16403/12250 -2577/6125
-2609/1960 -779/1960
-5209/3920 -57/140
-4553/3430 -1473/3430
-4547/3430 -691/1715
-37/28 -57/140
-1287/980 -407/980
-1279/980 -57/140
-181/140 -88/245
-505/392 -139/392
-8833/6860 -2437/6860
-627/490 -114/245
-249/196 -73/196
-4357/3430 -786/1715
-71/56 -131/392
-177/140 -331/980
-619/490 -114/245
-5/4 -69/196
-173/140 -114/245
-173/140 -429/980
-173/140 -339/784
-173/140 -57/140
-173/140 -359/980
-173/140 -669/1960
-173/140 -331/980
-173/140 -979/2940
-173/140 -31/98
-173/140 -74/245
-1203/980 -72/245
-601/490 -23/70
-4283/3500 -4071/12250
-1027/840 -2599/7840
-171/140 -373/980
-171/140 -74/245
-4269/3500 -1864/6125
-341/280 -557/1960
-1363/1120 -669/1960
-1363/1120 -1811/5880
-73/60 -74/245
-17/14 -102/245
-17/14 -331/980
-607/500 -7449/24500
-97/80 -74/245
-297/245 -11/35
-4241/3500 -4267/12250
-4227/3500 -1962/6125
-169/140 -387/980
-169/140 -303/980
-169/140 -289/980
-1013/840 -2697/7840
-1349/1120 -421/1176
-1349/1120 -1909/5880
-589/490 -2/5
-6/5 -197/490
-6/5 -292/735
-6/5 -1527/3920
-6/5 -1133/2940
-6/5 -183/490
-6/5 -1429/3920
-6/5 -107/294
-6/5 -69/196
-6/5 -683/1960
-6/5 -1331/3920
-6/5 -81/245
-6/5 -937/2940
-6/5 -1233/3920
-6/5 -74/245
-4199/3500 -4463/12250
-2097/1750 -8569/24500
-599/500 -7743/24500
-837/700 -412/1225
-1046/875 -4533/12250
-209/175 -1851/4900
-167/140 -303/980
-267/224 -2203/5880
-267/224 -669/1960
-333/280 -2991/7840
-333/280 -559/1568
-208/175 -468/1225
-4157/3500 -4659/12250
-19/16 -373/980
-1163/980 -93/245
-4143/3500 -2158/6125
-58/49 -27/70
-71/60 -283/784
-71/60 -641/1960
-2069/1750 -8863/24500
-591/500 -8037/24500
-289/245 -351/980
-1321/1120 -421/1176
-1032/875 -2193/6125
-33/28 -317/980
-2059/1750 -2242/6125
-47/40 -107/294
-197/168 -2893/7840
-4101/3500 -2256/6125
-573/490 -13/35
-7/6 -1331/3920
-583/500 -8331/24500
-163/140 -331/980
-65/56 -2697/7840
-4061/3500 -2109/6125
-284/245 -12/35
-23/20 -69/196
192
3  0 1 2
3  0 2 12
4  1 5 6 3
3  1 3 2
4  2 3 14 12
3  3 6 14
4  4 13 15 9
3  4 9 8
4  5 8 10 7
3  5 7 6
4  6 7 20 14
3  7 10 20
4  8 9 11 10
4  9 15 19 11
4  10 11 28 20
4  11 19 33 28
4  13 17 24 16
3  13 16 15
4  15 16 23 19
4  16 24 30 23
3  17 18 22
4  17 22 26 24
4  18 21 25 22
4  19 23 41 33
4  21 35 38 27
3  21 27 25
4  22 25 29 26
4  23 30 43 41
4  24 26 32 30
4  25 27 31 29
4  26 29 34 32
5  27 38 45 36 31
3  28 33 52
5  29 31 37 40 34
4  30 32 51 43
4  31 36 42 37
3  32 34 51
6  33 41 47 64 72 52
5  34 40 62 63 51
3  35 54 39
3  35 39 38
4  36 45 50 44
3  36 44 42
4  37 42 46 40
4  38 39 48 45
4  39 54 55 48
4  40 46 61 62
3  41 43 47
4  42 44 49 46
4  43 51 64 47
5  44 50 58 59 49
4  45 48 53 50
4  46 49 60 61
4  48 55 56 53
3  49 59 60
4  50 53 57 58
3  51 63 64
3  53 56 57
5  54 77 79 76 71
3  54 71 68
3  54 68 55
4  55 68 69 56
5  56 69 73 67 57
4  57 67 65 58
3  58 65 59
4  59 65 70 60
4  60 70 66 61
3  61 66 62
3  62 66 63
