243
-394181861/129952550 291629727/129952550
-17632098613/5838582425 26264477457/11677164850
-27891581/9282325 1353662347/612633450
-853839/285610 343144/142805
-33307396469/11157354650 268270180463/122730901150
-983219/329550 131018/54925
-6116134233/2051393825 99063872707/45130664150
-27579597/9282325 731655644431/334293652550
-2621079443/882534900 345053971/147089150
-889754441/301538250 238896179/100512750
-12980382853/4399822050 6971196189/2933214700
-45838944794443/15539635961850 1119907342097/470898059450
-14068989055427/4769585608450 11343806560389/4769585608450
-1618947/549250 663852/274625
-35678587249/12107007900 1532824651/672611550
-477242173579/162317018370 65382161228/27052836395
-78255149769/26623136150 32215570754/13311568075
-791158831111/269183140850 325275956976/134591570425
-15298131092821/5206291866750 4198623984291/1735430622250
-76902860727/26174728450 31678855107/13087364225
-74662411/25419290 162245411/76257870
-5075600677/1728654525 22474461409/10371927150
-2489858936496327/848229253275950 266084433716977/121175607610850
-1368537545801/466325443350 187811241172/77720907225
-83801013/28561000 32010733/14280500
-24818269931566153/8460224283468750 6816680613027657/2820074761156250
-87743461421/29922502870 36151340856/14961251435
-24487708431171/8351617689350 19333884725347/8351617689350
-46034559/15708550 37252363/15708550
-4931952507/1682956925 7983823123/3365913850
-58244512077/19877027950 3016718247871/1272129788800
-49187008758713/16798390634350 1307647245261/541883568850
-325958783/111387900 44851201/18564650
-28207849399/9657330930 288802210747/119107081470
-5888801422229/2017060646900 2217802653539/1008530323450
-161315307/55254550 134099799/55254550
-776055950213693703/265907018517700625 1248675344587521017/531814037035401250
-114579936274091/39266020581450 31758522357979/13088673527150
-2817200571/966789850 1055236636/483394925
-18907790643/6488729650 7880084138/3244364825
-5301420731822313/1819733653265450 17485198255165839/7278934613061800
-132028631879/45355636950 35775372601/15118545650
-58108629/19992700 21604039/9996350
-2800167495129/963526041725 2326584318753/963526041725
-85653788877/29508511175 142866392703/59017022350
-1041871071/359154575 770354797/359154575
-2944375975777331/1015226914016250 1889123356033091/789620933123750
-828101/285610 305686/142805
