164
33694258793/90891293557 122296257557/90891293557
35390448947/95415692403 120783832703/95415692403
3018350/8125601 8481800/8125601
16255599679316500/43722097043744199 39819085155713350/43722097043744199
299/804 701/804
454176650/1221155601 1048503500/1221155601
2377790231800/6392851391001 5433825698350/6392851391001
3018416157679/8110702781130 6220537940221/8110702781130
10000/26867 50/67
153008450/411085401 306421700/411085401
33690439850/90491578197 63870349700/90491578197
185782741604600/498990596983797 349710164124950/498990596983797
6068365/16292206 10416535/16292206
901/2418 1399/2418
73973066031170941393450/197679385231748951170059 92669032315908798446035/131786256821165967446706
66886939816445922026667/178740817570770809352167 540719259249414886103200/536222452712312428056501
39367303660786463599/105121045424879911401 143830875416954063999/105121045424879911401
6724757096849845997/17940945110126045000 1483890622031634874576/1100407868329580970075
4090416953615189179145886349/10909873511163039642207531801 4882213242792871398208824533/3636624503721013214069177267
18189927435939043/48477056109586986 48311741695336950/56556565461184817
532200370069752387904798583/1415031177541784986578056700 18007336687076491433305567/14150311775417849865780567
121721638445925859968149/323439987002381106036501 407191430460529758048899/323439987002381106036501
44409444474026530685298784151/117596552363035351836761986398 3585812816420314904325942890567/3919885078767845061225399546600
107289867271006639047291174954380501/283877101645038035261208061175912001 257341372186977281108430761024441350/283877101645038035261208061175912001
61810629076743907107954701/163035584711788907851566501 142551430447088525947044299/163035584711788907851566501
60427597337547455970334699/159311308091167277622592899 138505664771620897786624801/159311308091167277622592899
32206274135198448924267299/84901870652507099194683402 819378767456344134524051261/943354118361189991052037800
16844693968261361837078586609599/44368738510842166086087158328099 38153966108919167046549888776650/44368738510842166086087158328099
5771650/15195801 13208650/15195801
32319012328361363050/85083912098901406401 22005222589199/20954558946001
6764227470052349791/17797674007575945900 37112656297548996859/35773324755227651259
116406490600380175919999/306253036758403021943499 259622398476103263536800/306253036758403021943499
555523013214958819732336/1460315423043973166457159 449333050465009106372157233/535448988449456827700958300
68006038568003279938267/178705777222295849381700 5407377309913345274447/5361173316668875481451
869513141547040366411016600/2275763608104943884169293399 2088786364278088857587621401/2275763608104943884169293399
7194536123710507505390002076117/18818291930110425458220210731700 510088879360220639322704271847/564548757903312763746606321951
3242203688309105589815071977790601/8475805265456599317667624590592401 6624278219274144051229410249421499/8475805265456599317667624590592401
