165
-17091727/61473750 -4616311/61473750
-66407603/307368750 23030623/153684375
-10648693/61473750 482938/30736875
-15547633861/98952246250 11858204981/296856738750
-1927386893/12848013750 -636121573/25696027500
-21851125769/153807322500 811244773/68358810000
-35197234/276631875 -1294923/81965000
-136587907/1086036250 -655203959/9774326250
-135322240021/1186627796250 -47951579303/1186627796250
-512695601/5102321250 -335194993/5102321250
-102584039/1045053750 -1878967/430316250
-562306473817/6004817373750 1538206753/261079016250
-148538977/1905686250 157543157/952843125
-18989333/245895000 26616593/6885060000
-18019152253/240300888750 19653333773/120150444375
-557472749/7499797500 2468291261/14999595000
-2366761201/31945858750 2604158041/15972929375
-75238535603/1038844901250 7934881699/2423971436250
-22604547083/316220970000 103682581337/632441940000
-13135261/184421250 382709/61473750
-3362703969373/52084802688750 4097707091693/26042401344375
-24112551283/633732888750 83711769131/633732888750
-1293358091/37204927500 2595993781/18602463750
-24029911/799158750 -6325573/799158750
-100666203539/3355667591250 -6583499027/3355667591250
-743339921/25019816250 564182497/25019816250
-20543056207/716538030000 4963275214/44783626875
-30913237215743/1083679489863750 133317657088351/1083679489863750
-6862478803/241837732500 16413143573/120918866250
-344423923/12233276250 630227787/4077758750
-151839343431/6060471608750 2176604811451/18181414826250
-14202581/594246250 -243661399/1782738750
-1522441049/72969341250 -4486128457/72969341250
-12620181503/616827607500 40404964273/308413803750
-5633778313/301159901250 -808028803/100386633750
-63271769/3416703750 -3847889/1138901250
-73271483/4241688750 38796427/1413896250
-888893204619/63607524353750 20830716692599/190822573061250
-79920641/6024427500 381685831/3012213750
-77760511/6331796250 956818627/6331796250
727631971/31167191250 -177542273/20778127500
2172208847/54281321250 -3162244529/54281321250
13987091057/305463063750 15956425751/305463063750
1319418089/17520018750 -1222878799/81760087500
11786952721/147352578750 -226238162/24558763125
1453793641/17028228750 577277419/8514114375
3935052158031/42203962921250 28758589579/4084254476250
55790967411677/504063172713750 -4825771145839/504063172713750
1887726142501/15417555026250 -1761467496626/84796552644375
29440512979/237473096250 5313545161/118736548125
9626359343/61953245250 -3230818801/61953245250
1955619581/11864433750 -204262289/3954811250
344520389/2028633750 239065319/2366739375
496560157049/2815436276250 -77221494793/2815436276250
2538164749/14323383750 788212216/7161691875
98851427/553263750 12846383/122947500
11513213/61473750 3315742/30736875
1285989051533/6742502373750 -70910327131/6742502373750
91478724143/458758105000 -68332013/229379052500
565024422113/2761462323750 16107752309/2761462323750
18125365753/87354198750 -223974773/43677099375
986298634487/4719893051250 -2814054188/262216280625
512608133/2446655250 -848244391/26913207750
26032291/122947500 -470981/61473750
528411776501/2470240678750 -218888211421/7410722036250
938194118279/4371890152500 -20819928481/647687430000
30513086971/140590466250 -761078111/70295233125
6043997497/27601713750 -1346490079/27601713750
1725287104753/7806612986250 196260618079/7806612986250
333356375473/1505799506250 -719777869/21823181250
46778756949/210244323250 -16189903279/630732969750
3237733083323/14446700092500 -108750929893/7223350046250
21792534989461/96964820403750 -352879062509/32321606801250
7980175811/35064627000 2930969/381137250
8922414791/38544041250 24232537/389333750
5954725573391/25637074173750 984727779713/25637074173750
20559416131/88030410000 -910637921/44015205000
108530830259/461237546250 2987785943/51248616250
825355/3471429 -55298/1157143
38666702047/160385013750 15432044321/160385013750
12516881227/51576476250 2613789811/51576476250
82792709536295/334587508772166 -4037215278217/111529169590722
4967029567/19752169567 -620028348/19752169567
2254271/8872500 -146161/4436250
72253378367/283947251250 -3199477169/283947251250
15790109/61473750 2215787/61473750
3274315/12678082 -2855137/76068492
4164482502127/15845130462642 -94057808501/5281710154214
715942583/2701049598 -13625089/900349866
349948521347/1313017826250 -14981505779/1313017826250
51589708087/192966101250 -51247063/4487583750
43029538134355/160463488012074 -611325776513/53487829337358
297080424049/1096722436875 -8489251961/2193444873750
19779359723/72600498750 -229930211/72600498750
16278727539305/59584691712374 -4107303486059/357508150274244
45338861143/164811123750 14643523849/164811123750
9586132032805/34650422957514 -14664243443/11550140985838
34386084008665/122849475100262 71977680679/368548425300786
31216415329/111451908750 1344253247/111451908750
362956193/1290948750 4716583/430316250
3817779691/13493488125 18197434111/296856738750
346451604845/1218926610486 3164677793/406308870162
55136324885/193973161718 18080932349/2327677940616
544174557/1913882750 15143499/1913882750
1080098473/3749898750 14467289/3749898750
13288921996136/45606114913125 960907855707/30404076608750
5585892913/19118336250 551147959/19118336250
1052013367/3594165250 64418169/3594165250
1205571/4098250 66297/4098250
