134
224518575428929/239172447409424 14590501476811437/16742071318659680
64274062973/68190400816 2467226206303/2727616032640
16937064901/17944842320 164284727349/179448423200
4708376722601307/4953040375060000 4303135684254999/4953040375060000
1468268600779759049595/1543601997699519877664 6725426301986494629603/7718009988497599388320
3399787255/3565025264 1/1
6713189731641227/7006563683844000 37914088508053609/42039382103064000
374058757947149/390249652669920 4727196699482717/5231784406106115
80427328654745349/83710356593298400 10924579532481429/11958622370471200
630270638558533542967/654686461241771850418 1158945218548892603115229/1256998005584201952802560
3776042672536988821/3918161134478131280 35780234706848397621/39181611344781312800
43647595919204004979/45235704522785107472 1634203641835792492061/1809428180911404298880
42562975934356335779/44098369343316285712 1588710234657039621661/1763934773732651428480
51873756732213276283249/53555641968705727755536 3266275168403975217836973/3748894937809400942887520
233311/238832 330491343/413179360
16099855517541639/16420894275698080 1/1
549987165738365/560634757020416 76313817809901/87599180784440
4800872522327/4886174600032 21931342049967/24430873000160
4832257009387/4916852288672 22176412053537/24584261443360
32988467/33548480 10914237/11981600
13825920295032181059/14010345304868093216 9726381775412770659/10007389503477209440
472943/478464 1/1
551203197300045/556100412998368 378451962828067/397214580713120
37579905500597/37818756443520 161068207549/177054103200
72690168060925517/73116606746307424 329520673420158049/365583033731537120
71349641069457697/71744357934951584 321286314633717359/358721789674757920
1566586060862838419/1573003164086208576 1141815088802169877/1310835970071840480
1/1 22159/27680
1/1 14667995904726627/16839864530853280
1/1 709/800
1/1 21680044008647/24231640402560
1/1 98039/109440
1/1 2009871358337/2230718655360
1/1 162026584299/178251263200
1/1 262622347737923/287317636826880
1/1 69016733/74637920
1/1 1/1
17832048155138298784875189/17810949973738995813829600 2312474728821709715233941/2544421424819856544832800
1451353831074769548906041/1446997017840390500924000 17474670068629684597334161/19398803770422735153012375
190277537716351669/189501524464853600 1018812168610671637/1137009146789121600
185670878272560693/184894865021062624 827956582298569537/924474325105313120
200081193483159008344834583/199169085850073262923182880 1068242005065377896037260337/1195014515100439577539097280
82623632364996939/82104471378490400 709/800
1742251790746411226841199067799/1725339535130566554084240100000 1502692563332490481282012468707/1725339535130566554084240100000
195822658449843/190925442751520 76492678079653/95462721375760
1156271470865563888561/1114716052305373359360 20221618168838463629/23223251089695278320
5766001819933/5544904627200 709/800
521676562237545439/501545655467852000 5120779323390867077/5767775037880298000
72443085310683/69582914308000 31089670703153/34791457154000
783135729643433/751673848613920 337534753197893/375836924306960
11953734894428684197/11472900352357276640 5153713289168356507/5736450176178638320
87698371549044019/84095213553062400 395950268271749/437995903922200
84533830591871/80916162040000 290729393569687/323664648160000
26222796785749061/25082005703200000 10092788022369529/10973377495150000
25327850614180421/24187059531631360 9839045423772499/10581838545088720
21773460759791/20749697250400 709/800
39143940623/36966030848 1/1
26843976326966439/25082005703200000 10230584373833779/10973377495150000
25949030155397799/24187059531631360 9701249072308249/10581838545088720
1303087812813297092537/1211471621920597132800 5680030545699638773/6309748030836443400
823331593524487/765412057388000 344403857584933/382706028694000
181160276678266339624811/168321231760138285012000 75432965523316151792699/84160615880069142506000
809593384750407/751673848613920 335117273347643/375836924306960
22353533455511/20749697250400 18674838076263/20749697250400
5977180366967/5544904627200 709/800
7651880993385072023057/7092930608579873500960 71878647182760338327269/81568701998668545261040
17995664535940264489850123/16653270098390105138400000 301987670794121343422893/346943127049793857050000
14054312961/12871867360 5169321989/6435933680
8641417114425460833549/7861964759247556154720 1368430406543134494489/1572392951849511230944
1055368434733798533/959483214306188000 5052168185186955961/5756899285837128000
410834889/373189600 709/800
16536519/15015200 31750629/35661100
1058010250423923813/960261342211085920 2577511051916421739/2880784026633257760
92792288829699639/84199322654266400 10791115288102059/12028474664895200
16361287/14839968 22873466113/25376345280
38884954733811/35227536100000 32177606624227/35227536100000
38065121307891/34407702674080 6442642165943/6881540534816
469295411/422231584 9458393397/10555789600
97641558187/87795798560 158364385819/175591597120
83088189/74637920 1/1
2678410316507393/2405694932979040 15364471850328619/16839864530853280
2618557422913793/2345842039385440 3078265549527839/3284178855139616
174026046883107/155630386614560 178177873965335/186756463937472
420416631/375380000 351995783/375380000
40054256833/35650252640 1/1
2660101142708513/2345842039385440 14945501595173419/16420894275698080
2320429440661/2044825434080 3693425008237/4089650868160
8901533031160697999/7836322268956262560 34996933456883449221/39181611344781312800
513877513069794828319/452357045227851074720 100945518310362108089/113089261306962768680
2294907373461/2019303366880 1076419446637/1211582020128
8105007101/7130050528 709/800
502065241679694699959/440983693433162857120 768174254765117545109/881967386866325714240
609798898458301489235167/535556419687057277555360 93185681212698882244935/107111283937411455511072
1038064886331127/906968220537440 789012522178437/906968220537440
161316353667/140765751200 709/800
1042315828341543/909414313486240 161497245818593/181882862697248
2737489/2388320 166256619/206589680
7612288236451/6639591658400 5922324340473/6639591658400
1033622149200103/900720634344800 814076455029909/900720634344800
143084323439351249/124640234109013664 566259831093376543/623201170545068320
2753351/2392320 709/800
1889319231/1641467680 145705929/164146768
1879077631/1631226080 737349483/815613040
1293889280423/1122991434240 42494693893/46791309760
191217164887/165399757660 1/1
1678233634955247/1450579719090160 287341800641571/290115943818032
1384547/1196160 1/1
23703735991/20432222480 3901217603/4086444496
1289603425133/1108980925440 41910922693/46207538560
1909042961/1641467680 742470283/820733840
1898801361/1631226080 144681769/163122608
928279/797440 709/800
711783528349515259/611308217479578400 554366878027886623/611308217479578400
211811700664645/181882862697248 822770134171349/909414313486240
210072964836357/180144126868960 31951701998061/36028825373792
7715504568611/6615990306400 709/800
187/160 11147/13840
187/160 20146347107/23496430112
187/160 709/800
187/160 1213/1368
187/160 49519/54720
187/160 67650101/74637920
187/160 1/1
17979958297/15323541120 12343911901/15323541120
521215527/443271200 709/800
71421105987/60740453920 53835013721/60740453920
71219198467/60538546400 54809649221/60538546400
48815081201659/41494155198560 37574761889237/41494155198560
34839/29600 709/800
4761103/4043360 19789/21856
10455347/8865424 1/1
6990179/5925250 46805159/47402000
3493/2960 1/1
1214899/1024960 826013/1024960
127
4  0 4 6 1
3  0 3 4
4  1 7 8 2
3  1 6 7
4  2 8 9 5
4  4 13 12 6
3  5 9 15
4  6 12 11 7
4  7 11 10 8
3  8 10 9
5  9 10 19 20 15
4  10 11 18 19
4  11 12 17 18
4  12 13 16 17
3  13 14 16
4  14 27 26 16
3  15 20 21
4  16 26 25 17
4  17 25 24 18
4  18 24 23 19
4  19 23 22 20
3  20 22 21
5  21 22 34 35 36
4  22 23 33 34
4  23 24 32 33
5  24 25 30 31 32
5  25 26 28 29 30
3  26 27 28
4  27 44 43 28
4  28 43 42 29
4  29 42 41 30
4  30 41 40 31
4  31 39 38 32
3  31 40 39
4  32 38 37 33
3  33 37 34
5  34 37 51 53 35
4  35 54 56 36
3  35 53 54
4  37 38 50 51
4  38 39 49 50
4  39 40 48 49
4  40 41 47 48
4  41 42 46 47
4  42 43 45 46
3  43 44 45
4  44 67 66 45
5  45 66 65 55 46
3  46 55 47
5  47 55 64 62 48
5  48 62 61 52 49
3  49 52 50
5  50 52 60 59 51
4  51 59 58 53
3  52 61 60
4  53 58 57 54
3  54 57 56
3  55 65 64
4  56 57 76 79
4  57 58 75 76
5  58 59 63 74 75
3  59 60 63
5  60 61 72 73 63
4  61 62 71 72
4  62 64 70 71
3  63 73 74
4  64 65 69 70
4  65 66 68 69
3  66 67 68
4  67 96 92 68
4  68 92 91 69
4  69 91 90 70
4  70 90 89 71
4  71 89 88 72
5  72 88 87 77 73
4  73 77 78 74
4  74 78 80 75
4  75 80 81 76
4  76 81 82 79
4  77 87 86 78
4  78 86 85 80
3  79 82 84
6  80 85 84 82 83 81
3  81 83 82
4  84 85 99 104
4  85 86 98 99
4  86 87 97 98
3  87 88 97
4  88 89 95 97
4  89 90 94 95
4  90 91 93 94
3  91 92 93
5  92 96 100 94 93
4  94 100 101 95
5  95 101 102 98 97
4  96 116 111 100
4  98 102 103 99
4  99 103 105 104
4  100 111 110 101
4  101 110 109 102
4  102 109 108 103
4  103 108 107 105
3  104 105 106
3  105 107 106
5  106 107 112 121 122
3  107 108 112
4  108 109 113 112
4  109 110 114 113
4  110 111 115 114
4  111 116 117 115
4  112 113 120 121
4  113 114 119 120
4  114 115 118 119
3  115 117 118
3  116 123 117
4  117 123 124 118
4  118 124 125 119
4  119 125 126 120
4  120 126 127 121
4  121 127 130 122
6  123 133 131 129 128 124
3  124 128 125
4  125 128 129 126
3  126 129 127
4  127 129 131 130
3  130 131 132
3  131 133 132
