151
3119273801/529514625 5865200209/6883690125
60802946/10320375 9321578/10320375
4884277504747042/826906474168125 731815191248981/826906474168125
5252055488951879/888222126031500 199430604236818/222055531507875
363413338291/61354629375 15779527221/20451543125
40104656140693/6768463138125 5679931620749/6768463138125
1301692176494902/219660936649375 1703872799552399/1976948429844375
17325422775942941/2923174763301000 108985169828562/121798948470875
8870935994/1496454375 1390515967/1496454375
21927241/3683580 3689963/3683580
3358489342800167/564110636480625 1869606360961549/2256442545922500
8044163108342/1349080563441 2396761320521/2698161126882
713854501/119716350 17682718/19952725
46540061917742/7802386015125 6911057786206/7802386015125
619273917364367/103757798083251 170786968745261/207515596166502
71466728/11971635 58126789/71829810
1465488532353559/245158674736677 117350753062349/163439116491118
357924752/59858175 27823169/39905450
431848180429955591/72137242733945025 34116331516260367/48091495155963350
11658737551/1947342228 397709543/649114076
1559782872/259385425 3532736053/4668937650
135456696439966783/22439071647444075 35790652085455663/44878143294888150
2618432795998678/433666219005825 693615030879133/867332438011650
22903666453/3792384375 72715195531/116299787500
361585052/59858175 86648597/119716350
9040414226/1496454375 9526970069/11971635000
7780098217483/1286950762500 1118097692667/1715934350000
12431673114346/2051196161625 8849101946393/12307176969750
2665205239/439506600 35697875653/48638730400
1939981110008/319823540985 269317477027/426431387980
3493843978/575559375 11395340479/14964543750
5815649117/957730800 17162662/19952725
2772856529329/456418584375 1429631390363/1825674337500
134409367287994/22085929047975 16417494408917/22085929047975
4165102938704/683732053875 194988232774/227910684625
45585768364/7482271875 6427297127/7482271875
903322571/148264095 210952181/296528190
2338531128532726/383466702709545 1117341372760007/1533866810838180
731039749/119716350 14410579/19154616
134677178342833261/22034390085296745 33901042087958251/44068780170593490
9546967006198/1560477203025 2201447853403/3120954406050
11739896449/1915461600 229793179/239432700
4837288064118409/789112240586475 2407046832049673/3156448962345900
2726175760996297/444398160862500 94373791170674/111099540215625
7344289261/1197163500 252990562/299290875
36209622409/5902016055 14830416196/17706048165
2365924801/385486647 542664198/642477745
4776861926/778156275 1788994204/2334468825
437481332328317/71265025421967 302336368371059/356325127109835
128085486974444069/20864060418703125 15840220213640692/20864060418703125
80580959/13119600 382463/546650
296680036139/48185830875 40476075202/48185830875
54956434651575839/8924971251421875 7534553942265427/8924971251421875
54859433778838279/8908128177745875 7518809621148947/8908128177745875
21385376666/3470954175 59384359/90743900
138437078023671763/22439071647444075 16780741038044909/22439071647444075
369348986/59858175 82950421/119716350
517284076/83801445 318220297/335205780
38505293/6231810 3937991/4154540
7176452191/1161248595 399159577/464499438
697173743832286/112768573088925 223438383679253/300716194903800
3277573046/529514625 663307671/706019500
1091323606/176294625 46200653/49198500
4059913903826/655787305875 15628650316319/16613278415500
90365594/14595555 36203698987/38434961500
209690767334/33868537545 42372705807/45158050060
171695116582/27729422565 6963505231/7394512684
370735802/59858175 47298161/59858175
1856452642/299290875 248136706/299290875
114529354571014/18460765454625 5130140551559/6153588484875
99729321782/16061943625 82411651981/96371661750
372271754/59858175 219548347/239432700
124173581138/19953763635 72952251071/79815054540
364497802/58546215 4250009/4591860
27058132307/4282335837 1317215845/1903260372
130875688330879/20704778081520 4342947810361/5176194520380
