184
5501711/3242084 -5501711/3242084
33878651/19912100 -32874707/19912100
1426153/833900 -1426153/833900
68824205167/39955482625 -135408971587/79910965250
5845667/3381300 -1900793/1127100
153057/88400 -449153/265200
116361/66244 -116361/66244
111219041/62741900 -102296737/62741900
109166/61115 -109166/61115
5418592273/3027811605 -3572331519/2018541070
278241676/155410515 -91487317/51803505
178863/99892 -178863/99892
18125571/10112960 -27077423/15169440
22252861/12398100 -7322559/4132700
536585169/298769900 -529811033/298769900
1695593499/943957300 -1673086743/943957300
77674/43095 -24524/14365
995974703/552311045 -984635528/552311045
2033017/1127100 -667023/375700
14341879/7942740 -203308887/113845940
657766281/364274300 -634706317/364274300
1452217549/803463180 -114647834/66955265
199743/110500 -191851/110500
7633247307/4222218260 -1799691901/1055554565
502614223/277704180 -309270059/185136120
65773121/36310300 -59707697/36310300
11578883/6386900 -10339231/6386900
107990349/59555080 -12790881/7444385
690848818808/380639428455 -208799760087/126879809485
52349503/28840500 -16938557/9613500
6139109171/3381021710 -3009459591/1690510855
64798416091/35627511660 -38644636023/23751674440
1227224001/674730680 -286847203/168682670
1814501779/997425156 -592330173/332475052
174901/96135 -104103/64090
201069/110500 -1688647/994500
122143319/67104440 -59699449/33552220
439682861/241491120 -17363903/10062130
3626243/1991652 -90957/51068
15063247/8271588 -4914249/2757196
1501619579/823958720 -349985737/205989680
682664261/374480080 -159044807/93620020
22552107/12309700 -22403299/12309700
16679780079/9095144500 -15029379503/9095144500
9861318407/5376187440 -389626061/224007810
843237969/459569500 -758071733/459569500
84827/46189 -6778/4199
27607/15028 -27607/15028
51789761/28177500 -15534459/9392500
2689159/1463020 -1298901/731510
733528191/399015500 -653735637/399015500
282490883/153650250 -18555881/11381500
64238252674/34935276233 -20576840589/12703736812
3080542568/1675262875 -985099239/609186500
6812203/3704415 -5069151/3143140
29708839/16155100 -26030673/16155100
303131/164775 -354231/219700
1322049/718250 -2342961/1436500
5705556/3097757 -181470469/111519252
32437639/17610256 -31534389/17610256
661974/359125 -6992591/4309500
31101091/16868267 -55057923/33736534
570463/309400 -264083/154700
11957/6485 -41761/25940
5360141283/2906304700 -4706343081/2906304700
51011/27625 -14491/8500
204163/110500 -4799857/2983500
1233157/667420 -1228141/667420
7512/4063 -7512/4063
313345807/169194285 -20819312/11279619
62737056/33875101 -312629153/169375505
51197/27625 -90333/55250
205782873/111013825 -725353299/444055300
17777114891/9585217525 -62684980623/38340870100
485867041/261918150 -285584283/174612100
129569/69836 -32166/17459
423186/228089 -1680979/912356
36317003/19554080 -8369819/4888520
48385871/26050375 -168681213/104201500
16003337/8611720 -15965581/8611720
491/264 -491/264
5642056183/3032617250 -10361574487/6065234500
771751/414375 -883401/552500
24949449/13387400 -24911693/13387400
348119/186745 -62824/37349
12264842/6570109 -1020629741/604450028
5811587242/3107531609 -21092404967/12430126436
1690511/902785 -310617/190060
26485066/14114165 -19335575/11291332
9308786/4951947 -27885059/16206372
5175684337/2751184800 -640076847/382109000
407770201/216668400 -15132843/9027850
3015479/1602250 -5268231/3204500
4247963/2254200 -631161/375700
155816899/82636320 -126756889/75749960
295696236/156558389 -566542287/313116778
151361749/79984320 -4531964843/2712801520
5448/2873 -25884/14365
209909/110500 -2020193/1215500
94469107/49627760 -227375531/136476340
1733634601/906740900 -1560891087/906740900
3070316237/1598114869 -5824627461/3196229738
1460797067/760085300 -1319843619/760085300
268307608/139399065 -25671444/15488785
36513933/18958927 -312934031/170630343
125906479227/64977542500 -118839269439/64977542500
412322/211939 -1595457/847756
5197167/2657525 -4839869/2657525
7081049481/3603891200 -6630342867/3603891200
3487829/1768000 -287887/165750
1479386211/749344700 -1392868977/749344700
475254421/240337500 -3801183473/2163037500
5220743/2635425 -1343242/878475
1407821251/710155875 -20313626/12458875
6341875409/3194505600 -487714599/266208800
394129261/198365180 -366694857/198365180
2753780777/1385520825 -752926288/461840275
1113547/560235 -304736/186745
61183462/30735575 -51577659/30735575
1936647/972400 -1841629/972400
2231010101/1119453400 -1031967891/559726700
9021876973/4521236720 -296435627/161472740
16961715191/8497914100 -14961887487/8497914100
6982826651/3498010100 -6171886707/3498010100
12109717757/6065234500 -11164704399/6065234500
751223/375700 -696411/375700
283253005/141595584 -21683707/11799632
5441073553/2719250300 -4995939321/2719250300
91837598/45896175 -28116937/15298725
11059/5525 -351343/198900
34230929337/17099808700 -31650257409/17099808700
622100914609/310753160900 -575571784113/310753160900
417075787/208115700 -130785953/69371900
31812343/15867800 -30106251/15867800
2449977/1221025 -2138801/1221025
6924014093/3445999180 -18342426643/10337997540
2038353163/1014081120 -155593253/84506760
8240408193/4095666380 -7355964661/4095666380
379946012307/188501158820 -344093769519/188501158820
2694177559/1336247510 -1231661749/668123755
429742802577/213101831020 -390708627909/213101831020
281202151057/139365305820 -770360504207/418095917460
6928011/3433235 -6331187/3433235
1115689/552500 -1035773/552500
6174192/3055325 -22257951/12221300
7554581621/3737432660 -20985075211/11212297980
1380648843/682973980 -1279342951/682973980
1329801/657475 -4803153/2629900
4412940782/2179350355 -15606221441/8717401420
462303/228280 -38654339/20316920
51008349/25171900 -138742379/75515700
1692112683/833393600 -385167239/208348400
140092137/68929900 -383466727/206789700
173565958006/85314379215 -205920660151/113752505620
1296420449/637071175 -1178806543/637071175
212713674866/104523979365 -252474163261/139365305820
39632667/19470100 -36282019/19470100
281779/138125 -10974357/6077500
13038339/6386900 -12008723/6386900
736901864861/360766587415 -1318527044359/721533174830
96400715737/47125289705 -86415734179/47125289705
56048339/27370850 -25387099/13685425
420738/205075 -1566289/820300
8649810461/4211644515 -5196777943/2807763010
51527893/25083500 -45659401/25083500
562913942/273631865 -508550909/273631865
655800955109/318761477385 -197453730416/106253825795
798007/387855 -240293/129285
12133951/5856500 -10766207/5856500
25814612/12454455 -31394997/16605940
13801286/6616415 -50768293/26465660
751879/359125 -672253/359125
12542421266/5976022325 -45634696823/23904089300
197298/93925 -722119/375700
57668707/27319760 -12828371/6829940
2337/1105 -44867/30940
82132/38675 -877763/464100
529793/248625 -134692/82875
114194/52585 -408147/210340
4150288/1906125 -1103472/635375
96158/43095 -27617/14365
6539129799/2910710335 -4926624928/2910710335
312561/138125 -232352/138125
1826691/790075 -10027781/5530525
175
4  0 3 4 1
3  0 2 3
3  1 4 7
3  2 5 3
3  2 6 5
6  3 5 6 9 10 4
6  4 10 16 24 25 7
3  7 25 26
5  8 12 14 13 9
3  8 11 12
3  9 13 10
6  10 13 15 20 21 16
4  11 19 17 12
4  11 47 42 19
3  12 17 14
3  13 14 15
5  14 17 30 18 15
3  15 18 20
3  16 23 24
3  16 21 23
4  17 19 33 30
4  18 29 22 20
4  18 30 36 29
4  19 42 39 33
4  20 22 27 21
4  21 27 32 23
3  22 37 27
4  22 29 44 37
