263
479/2628 1015/5256
4603/24921 5110/24921
24702420388604/132997230303573 8435679641905/44332410101191
10870949/57957453 12697433/57957453
16804949508256/89061491108787 17364449048360/89061491108787
1289887834508/6774487759119 446424893325/2258162586373
808879966907/4228520082390 48727561193/234917782355
18621143471404564/97253117940796023 6346630472541190/32417705980265341
595175841198009092610836/3095761253889283356413463 28971603853834528777811/147417202566156350305403
38611255445386/200239404936933 13093572832423/66746468312311
79499748061739956/411806717952698799 9027290296938188/45756301994744311
9602584/49518783 9729700/49518783
16084472716398641611052/82831903000283057253273 1825746028129603097481/9203544777809228583697
502445839186/2580455055465 507613978777/2580455055465
13971600167/71593520958 6992486717/35796760479
926665669889802934/4742269145200793457 307526589140639291/1580756381733597819
48271810780739/244698213804462 7886186782379/40783035634077
282656992304/1408671270711 250897278383/1408671270711
469159492/2332118019 190399685/666319434
2644460759/13079352363 543187295/1868478909
839911300373828/4090037718405485 3481901711603/12200974300845
28945038109844579462/140451299338912313829 5701319523020772245/20064471334130330547
597825617/2854952769 930878585/2854952769
176664869954497028/836978006606859531 19953445204029900/92997556289651059
43084575117955981333/203767502395950505176 7577206466046221095/25470937799493813147
9879112648092/46523126907539 119231906700595/418708142167851
3267296421186424598/15372468727672313361 333522884292278605/1182497594436331797
1633506611926179/7659943730716330 9378970989315109/34469746788223485
19411758704341721/90377391491094250 101931808492971301/406698261709924125
56910205650361/264208330490766 69958164358721/396312495736149
76709/355383 18158/50769
354012005448212/1631700078851415 119764880741077/543900026283805
7188674675837/33096460627374 10761444244525/49644690941061
221/1017 371/1017
457/2099 770/2099
4475438745086/20515297917927 4174861800655/20515297917927
1060339/4857471 1182115/3238314
124/567 275/756
4889171/22236867 8391131/22236867
21216846963777190024/96487573146536314167 5761061260618325493/32162524382178771389
816191823070886/3708042086697665 5874052657365217/33372378780278985
739322933/3355929207 401203990/1118643069
344694359523/1563876005282 1209495018017/7037442023769
2157594416/9755843277 524793815/3251947759
690788260576302193/3119657552703701350 3626633600828329483/14038458987166656075
1037/4671 550/1557
441214519/1982840913 3021321215/8592310623
121347959693/544199188500 5329274116/15116644125
16589633/73958625 26591494/73958625
1711808236/7605498483 68528186105/182531963592
2286577470719751151852/10126626592285170243891 592082735410349159609/3375542197428390081297
708306205/3134843073 124807873/348315897
5808690847/25651972353 58029139085/153911834118
240124123092661/1058428596735576 1868417244179/5188375474194
1286055/5659763 5312023/33958578
10712380081/47076200451 363649915/2241723831
882235/3874293 71062/430477
191236644262729/837980697173067 408155993299/2347284866031
3292030454810975/14420904640456509 841875788421103/4806968213485503
5857784/25622613 21534625/51245226
4554767/19796943 8194007/39593886
11699881691/50782960062 1376147395/8463826677
43848659/189898461 14034194/63299487
1387669772591/6007362847875 737225453929/2002454282625
59200572469314340/255603016080979371 3801341001254573/16228762925776468
124718568244015/537648855835413 18480154712089/76806979405059
140981/605772 533533/1211544
36815340960156965/157877988773403573 19599918501336559/52625996257801191
379181/1624470 4371101/12995760
171016860241/732433786650 126348811306/366216893325
243401255/1042157214 1469905909/4168628856
509929073614637/2182624964663922 394644524660156/1091312482331961
183309632107/784407899700 243627775661/660554020800
7118795099247905/30458581981739982 90703638051381449/243668655853919856
125821041383/538315450710 1306880097149/3499050429615
6045154666583/25860764256750 38963707723099/103443057027000
1314824694629/5624306463519 11887139155/43599274911
936979945051/4007038717922 12362954109205/32056309743376
89370572243/382066709832 46713414719/169807426592
22810588841665631/97482946270559142 39473203405228975/97482946270559142
8116177/34658490 14775149/34658490
7750280409978133316/33085121272650495195 373019676436198673/1575481965364309295
104511017263/446044937841 46718934185/148681645947
1943787626440/8294428872471 1340466717157/4739673641412
235380543631/1002384191111 3843621540064/9021457719999
1424842039/6066883283 8651219110/54601949547
13633825838551/57937668344775 2424313529623/6437518704975
10426352555438/44281386748269 4053139224619/14760462249423
21078141300856/89517455555625 10252628521714/29839151851875
1914041/8115741 1673705/5410494
58543344364093/247859447646447 3725025710609/11802830840307
5257630843/22214961507 14396854823/44429923014
62982101/266093895 329884349/798281685
30442575890/128324925729 59860149623/171099900972
42492685/178778691 2911586/8513271
394267/1655964 771041/2207952
167778209033038/703919408644737 110692670220779/312853070508772
104551723859/438445772295 139102036493/438445772295
29730033313/124525217671 292438179505/747151306026
90392839/378443817 2722/7503
910193/3804021 312939/845338
202491006277/845464142937 247569493351/1690928285874
9529387054/39768783273 19957539257/53025044364
7304073427331/30412869046569 230206024483/596330765619
32556690125/135523710309 104946373793/271047420618
2930325555470381/12187226471223032 3533506946332555/9140419853417274
2231739/9276209 10952075/27828627
644596957873/2675713564983 1226695505366/8027140694949
50505705355429112/209552643991688517 25374757619737774/69850881330562839
104491133155103/433517618612586 146548042019855/650276427918879
6584441957/27252884295 534184993/1297756395
298438561/1233720791 1542917900/3701162373
44557176903040268/184142862514535375 467595198247356691/1657285762630818375
308956883/1275343917 539638394/1275343917
130529753873/538076827173 1554344863531/9685382889114
15263657/62802579 4404302/8971797
