257
2029/3180 961/9540
13/20 7/60
1201/1820 103/1820
4657/7036 679/7036
2307/3380 623/10140
2351/3380 133/3380
98239/138580 12217/138580
261263/367640 361/26260
43007321/60505380 37943/1186380
81495997/114605660 7741451/114605660
1070500907/1505059460 132050381/1505059460
2095659/2946020 41171/420860
562967/791260 89611/791260
329/460 13/115
247073/343676 29687/343676
99947/138580 9661/138580
95909/131820 1049/43940
7277633/9962940 9913/3320980
191/260 -7/260
5263/6900 1627/20700
207/260 -19/260
527/650 -203/1300
44433/54340 -2411/54340
4971/5980 -157/5980
98138893/117201760 -806437/14650220
852337/1010620 -32449/1010620
1052/1235 -12271/54340
1529/1794 19/10764
2256209/2600540 156007/2600540
94481/107484 33365/322452
3499/3980 1241/11940
40637/46220 14353/138660
229/260 27/260
599/676 115/2028
206803/228020 21689/228020
59/65 -47/260
929/1020 469/4590
418333/457340 42319/457340
748153/816140 214597/2448420
2147/2340 -53/780
239/260 71/780
241/260 79/780
2191/2340 599/7020
1393703/1485172 254541/7425860
1296173/1376765 -1042739/5507060
501803/530660 36909/530660
471539/497380 40497/497380
19/20 1/10
1174/1235 971/9880
26899/28280 5469/56560
326119/342732 28121/285610
26207/27540 907/9180
21533/22620 743/7540
12877/13520 2517/27040
168361/176540 14043/176540
64789/67756 3495/67756
249/260 61/780
1680899/1751620 -31283/1751620
454369/472940 484/6955
46909/48750 -959/65000
315611/327860 23753/327860
93997441/97573580 -2635647/97573580
2373359/2448420 -75901/816140
293206933/301522780 19877659/301522780
3793/3900 -167/1300
8791/8996 103/4498
4339/4420 37/4420
55/56 1/112
59/60 1/180
64/65 1/520
4157/4220 11/4220
619/628 1/628
87341/88140 -3039/29380
38130721/38433980 -1877441/19216990
395472793/398140340 -80123787/796280680
6866191/6898580 -728147/6898580
259/260 17/260
3163/3172 85/3172
146747/146900 -379/146900
384749/384540 3309/128180
7343689/7339020 470503/17124380
454883/454500 4723/151500
45473061/45423820 1612483/45423820
63712489/63604840 10329077/222616940
53917/53820 497/17940
1014901/1012700 -12108/253175
638179/636740 36017/636740
23473/23420 -563/11710
81651311/81462180 -2595483/54308120
140979799/140651940 -2238541/46883980
44183/43940 -1411/43940
5749/5708 221/5708
5929289/5874380 242567/5874380
36509/36140 1457/36140
5972023/5910580 239929/5910580
1661843/1644500 1132033/27956500
15239/15076 -95/15076
14461/14300 623/14300
13943/13780 589/13780
7425553/7337980 -315381/7337980
1042337/1029340 42811/1029340
515591/509140 -9873/127285
7088899/6995620 -317283/6995620
1680031/1653860 183439/4961580
61/60 1/20
2921289/2873260 -191851/2154945
44683/43940 -6971/43940
51037/50180 -4519/50180
3708049/3643068 34037/1214356
2491439/2446340 37861/1223170
767781/753740 -67397/753740
152627/149812 4897/149812
390300929/382946300 13294547/382946300
74507/73060 2281/73060
1941/1900 22/475
4116143/4018820 -256491/4018820
485301131/472143620 -17838991/236071810
2447/2380 -17/140
3951433/3837820 -40003/548260
2126677/2065180 -1664239/22716980
46421/44840 -1851/22420
11384/10985 -3707/43940
492001057/470471340 -2993559/78411890
1361/1300 -227/1300
532/507 -89/676
3551/3380 -367/3380
383/364 -29/364
62005/58916 -4447/58916
10014509/9501180 -28779/791765
968359/918580 -40223/918580
5387189/5108220 -20557/567580
8232083/7805460 -92117/2601820
9725333/9217260 -27689/1024140
20581/19500 -139/6500
1921/1820 -37/1820
6426504413/6052605260 -419243397/12105210520
32855871/30907396 -544239/30907396
123482987/115593348 -289405/19265558
3617/3380 -479/3380
820714483/763121140 -15038577/5341847980
444898127/413431460 -1340459/413431460
5524/5115 69/27280
757/700 -149/700
8709285371/8042683220 -62407887/8042683220
4689472507/4327575460 -250070333/30293028220
959/884 -3/442
9937/9100 -59/9100
46393807/42402100 -647399/42402100
819427/746980 -20049/746980
2570431/2328820 -126507/2328820
3402899/3076580 -196103/3076580
570481109/514932860 -12579933/514932860
1177/1060 -109/1060
187017/168220 -34843/336440
23917/21468 -165/7156
38529/34580 -10139/103740
1101/988 -289/2964
7954857/7138300 -4179269/42829800
8203970239/7361401780 -212165383/7361401780
193626751/173694820 -34408369/347389640
83391357/74735900 -3688049/74735900
637763/571220 -121237/1142440
5053349/4525820 -274433/4525820
144867947/129656020 -24684313/259312040
439583/393380 -86557/786760
412391/368660 -33857/368660
1578957731/1411414020 -87621713/940942680
2767607611/2473804580 -465173299/4947609160
26231/23444 -3875/23444
1439087/1285268 -277195/2570536
5545871/4951700 -1115119/9903400
3610493/3221660 -4365781/35438260
8229157/7337980 -987709/7337980
359/320 -7/80
92631/82540 -7247/82540
15695441/13985460 -409219/4661820
