196
2393/11050 787/1105
459/2000 173/300
8119941/27758725 159772043/222069800
397515242791/1231392349975 173/300
13/40 71/120
872/2675 173/300
904375455449/2762366386025 18401002496737/33148396632300
73523/221400 107027/221400
3793/11350 53722/119175
650249/1945600 18418871/40857600
533645271/1596698900 3778616146/8382669225
29041/86890 1644493/3649380
101/300 31/75
1640257/4793350 1007583/2396675
5366429/15603050 12913359/31206100
60174759/174436775 659065321/1395494200
630061/1821100 8873681/21853200
85991/245300 173/300
3518607/9990760 69705607/149861400
1304903339/3658189200 100368259/228636825
19032829180667/52991359920600 24943062723317/52991359920600
132479/361200 10201/22575
42569603/115680500 27957491/115680500
3138757171/8343499900 68094637439/233617997200
330303971/877379700 288586741/438689850
19295697303/50818278400 743877839/1588071200
1013389/2639525 10292924/18476675
24474519/62841700 70147583/188525100
3033133/7771450 78709/330700
28733/73125 173/300
23976585301/60409228300 6301800201/15102307075
38029577813649/95791808937500 210154581668182/502906996921875
2872110081/7217536300 18341663779/43305217800
8142473671/20457491700 2134468442/5114372925
33976071/85347800 8267257/21336950
6720558734479/16847487407400 175585647496/421187185185
1853400371/4646042750 3878572197/9292085500
2349192437/5886784800 1243640227/2943392400
1085746544797/2718957248332 29363686804947/67973931208300
9279312932987/23182536285840 27015003678419/57956340714600
841404473/2097769400 130009623/262221175
80179105931/199782995100 20150694319/39956599020
11439821479/28422460700 15523780787/28422460700
13158871/32624925 173/300
3698978309/9155735725 22002091627/36622942900
23449932811513/58017212877900 35237036346739/58017212877900
278239/688200 287501/688200
343779895652903/849129303546740 3953682335641951/8491293035467400
7436776246591/18362032302300 11694481070803/18362032302300
61/150 209/300
864488287/2122405575 860245179/1414937050
4641455519/11261185700 1435716549/2815296425
389009738811/942530660500 10161832064987/19793143870500
15179821/36674768 70317043/171912975
1404717033/3371323625 3389259899/5394117800
51905472961/124548843900 200951675959/373646531700
10077737/24089850 6237761/12044925
241496943/570719300 173/300
2089594/4876325 2588857/4876325
7563065954109/17629245249100 32381651933621/52887735747300
28450984104749/66159832289900 20460300818417/33079916144950
589774986547/1367229630000 2239710387/5696790125
237566669/549836300 6106048717/11546562300
5644260829471/12930456528300 7936167788113/12930456528300
5553545387/12663504675 11413118777/16884672900
3365395548939/7659090224500 3879666210671/5744317668375
214717/487975 10604951/15615200
1362240176504447/3088643513482800 177832762939487/450427179049575
133/300 33/100
232853/516400 1599229/4260300
108276367/237723450 353007539/950893800
2520998617/5524545860 38755570654/103585234875
19562327310227/42567815998700 2459022674018/6385172399805
8636359961794237/18631198184513700 1237907760808647/3105199697418950
4457/9600 173/300
146868649/316260900 229687379/632521800
324429407/696581100 55894172/174145275
1487406667/3168211460 22046819644/59403964875
5050000309/10734648900 2265466129/5367324450
492199749/1041544700 152921123/260386175
12443762870097/26271120970700 1488484098698/3940668145605
185518609766651/385880667242850 705651793652927/1543522668971400
160608607/330384600 113444203/330384600
4437493/9111300 173/300
619201080193/1264549109700 726781972297/1264549109700
4577259765782707/9344597941085700 627882506054967/1557432990180950
82150095361/167115885100 247610435879/501347655300
522051/1060900 173/300
1706779/3418700 934138/2564025
2821092349/5606007900 594558872/1401501975
456712997/906827850 284316233/453413925
978713957/1930217100 304695511/482554275
3285947155663/6432887143800 7194722749691/12865774287600
258541167469/505556091440 190673813927/303333654864
449033411668549/871598279063850 118388765068727/290532759687950
17592529/34097900 173/300
222903010039297/427593183977700 387108407997047/855186367955400
1057203877/2026017900 215490179/506504475
181705524533/347258222300 25065954451/41670986676
8463493/16145400 1318639/2018175
260033541169/492447814900 456334285087/738671722350
156851100410039/295141264861200 66632651623327/147570632430600
55657966771/104559966100 147423678869/313679898300
3821435177403/7177011917300 13624098778867/21531035751900
137813253499/256807837000 471645016919/770423511000
8833243331/16443227450 23042440219/49329682350
121991904787/227029126200 294848385559/454058252400
29457/53975 7351/10795
24512901127/44854263700 3312351853/6728139555
1790976107/3276493200 4461706909/6552986400
41/75 173/600
174418117/318758100 272056309/398447625
51862087/94568700 5413716/7880725
1860013/3384525 2321249/3384525
244001981601611/443771706348100 91730976070933/221885853174050
10346997079/18785306200 1614191859/2348163275
7072679/12725025 8650829/12725025
2848198431541/5101359339900 668698568281/1275339834975
19413959/34468075 59030879/137872300
4677751075511/8291867606100 1078067396069/2072966901525
78229321883/137644324200 88075243459/137644324200
10231920557/17934111000 11463612139/17934111000
1659354069523/2904552381800 1298614464099/2904552381800
3642794581/6364444950 14271336568/22275557325
10139583827/17564489800 708302761/1596771800
3736087/6467800 173/300
5110741166971/8817272467560 19669962298127/44086362337800
620588758943/1069454054500 468277367927/802090540875
6622772341/11310310650 3682549427/5655155325
2562457/4333650 173/300
2006267101/3386932050 40391538443/62658242925
2051796595899/3433755272900 1474647256126/2575316454675
52556901569/87936615000 27739722479/43968307500
17489387/29172400 12559571/29172400
25400696317/42333507300 6744329992/10583376825
10935269/18221900 173/300
1329848495237/2214185332400 58412677774/138386583275
38652323/64084600 27453859/64084600
67393329723/111660387725 433366144229/669962326350
780409/1291800 556547/1291800
7205139659/11831245550 20960299417/47324982200
1578064603/2583697800 404924387/645924450
203921370853/333812327150 141488495959/333812327150
46/75 101/150
580121609581/945246941100 20780632183/42965770050
258766769/415520675 1585718549/3324165400
177007818233/283681488300 14519518794/23640124025
41783503691/66473061600 165237262099/265892246400
109201401/172040200 17436753/34408040
126519121/198096600 129517273/198096600
418691/649660 1787101/2728572
12099239/18749820 2432617/3749964
51416393601/79665603100 6193981295/9559872372
458235881/709667100 9790249/15099300
11585495179909/17932165946900 69824611860677/107592995681400
2734057949/4229912900 2740494887/4229912900
4057306111/6260752200 3379392257/6260752200
4577827/7049900 257181/640900
4342249069/6683143800 82198879/133662876
136624769/209040000 1224283/2090400
23326/35625 173/300
66864905443/101987936950 1000576872799/1631806991200
4379617/6668400 9359/16671
287169460651/436057644750 464790978329/872115289500
1583/2400 62/75
16102287583/24387667350 1043443517/1951013388
1531005541/2317275410 1478124961/2780730492
24661/37200 173/300
214976298923/319584841500 5629533149/12783393660
9460864676207/14061496964300 1928628694934/3515374241075
16575362722609/24618745557600 5646082879/12957234504
101/150 559/1284
101/150 76397197/175326744
101/150 27297113/62053800
101/150 20936519/40005300
101/150 190755269/348919200
101/150 4106243/7476900
101/150 742427/1221600
101/150 2869/4575
101/150 8013097/11582000
101/150 493428726/693500975
101/150 7696/9975
101/150 62/75
53602458635243851/79106071906907200 4304030857511419/9888258988363400
97565420167673/143636513033180 156401841870607/359091282582950
17/25 87/200
114803399541/168790347200 64349679683/147691553800
6550472655727/9620811435020 1496368332733/2886243430506
32276557/46940700 2794176/3911725
668332273/968013700 6540512681/13552191800
2035620889/2924365800 1487194643/2924365800
381474926078701/543466873915300 19224541419792629/43749083350181650
143/200 119/200
11739/16220 121811/340620
1946179/2490300 188033/415050
1041/1300 1471/3900
185
4  0 1 3 2
4  1 7 6 3
5  2 3 5 4 24
3  3 6 5
3  4 5 17
