318
2209/3720 40/31
2213/3720 2189/1860
423093420689/691800100680 267184397417/230600033560
1482110210297/2347367419176 71530517353093/60640324995380
2399/3720 781/744
4052631279970639/6177946277869080 1241333857741361/1029657712978180
179365239687144493/273186009984805320 54919360048768633/45531001664134220
1954553417537/2976064244400 21533780032819/17856385466400
661929398279/982005268920 9678877458/8183377241
2395740567711319/3497289396972720 126970720361089/116576313232424
7920709057674379/11082428450523780 23518759790057807/22164856901047560
7164405454483/9964653628840 20134007078441/17936376531912
535/744 1729/1240
3411721/4731096 30093493/23655480
26456839/36620920 26192543/21972552
17576711/24259980 18326607/12938656
108947814497/150003981720 177997717091/150003981720
4333322971/5962449480 17897987/12822472
77417195194277/106359162961080 1198173070559/864708641960
266622823/365403000 173231487/121801000
4099134565769779/5610412861692600 1201076593277773/935068810282100
513936723733/702517844760 79151888671/58543153730
22627573/30918160 159014963/123672640
626209601/855472280 659271757/513283368
25943137/35415640 45320553/35415640
3528919/4800040 18084851/14400120
2177392654379/2960887280520 2208012785477/1776532368312
2088964229/2839369980 1970921499/1892913320
224027547977/304196236110 625052921917/486713977776
457974671/621764520 6958117451/5595880680
24960993/33868120 377831177/304813080
824105188003/1117762314660 264475875471/248391625480
19545025301/26468129220 33973625719/26468129220
823069834753/1113765773208 7151055629639/5568828866040
2211987923737/2993152484760 768611374381/598630496952
9674771925401/13090261537200 67197602695783/52361046148800
221799242437/300028486680 385269803837/300028486680
21927137650571/29658819009480 2165623372317/1977254600632
49801276/67281625 7821679247/6459036000
679363/916360 3299941/2749080
426862097477/574761642960 21952134471/19158721432
46708369/62884120 44817781/37730472
23278418623/31326495720 39055689073/31326495720
111289277537/149760574680 560033613911/449281724040
27400283023/36866319720 45956249023/36866319720
1997271223/2685399000 419163172161/360738599000
32425093/43555000 51074301/43555000
3860154859/5178020520 6971933289/5868423256
69318493783/92936584680 10556250577787/8643102375240
876647939/1175117000 4085067419/3525351000
1304858877901/1748453149500 17029532161081/13987625196000
2539027679/3401430205 32724972843/27211441640
479126623/641416040 1327770721/1154548872
1047077965637/1401689955000 565775351103/467229985000
8909163184193/11922486885960 14527534314467/11922486885960
4317811/5777160 37738419/26960080
129018499709/172603491360 8759849781/7191812140
1895618375969/2535822909000 114468521329/93919367000
161342629367/215741347176 3893800241429/3236120207640
456899/610700 16701487/14656800
9252547/12354120 567353/457560
306732555349/409259159160 486338201279/409259159160
4148428618051/5534341080840 7144351665371/5534341080840
1825569885521/2435447584920 144914608749/115973694520
2519850511547/3359556228360 258249630079/223970415224
30334156083/40361860004 516297232419/403618600040
530270660659/705389349960 905422024529/705389349960
3590709837959/4775968116840 2042972802309/1591989372280
919249028627/1222652745960 104624281857/81510183064
72943452047/96939568040 17903542209/13848509720
3138377587379/4167690843720 321182086231/277846056248
15310698061907/20327433581520 103964134412989/81309734326080
36872454103/48935865300 354014485081/293615191800
308374758773/409148541240 114643360153/81829708248
5786134788791/7674456441000 2935612383479/2558152147000
1455266627951/1929565313625 1724819721289/1506002196000
381063073/505250400 6941931/5263025
8289205899831/10979117387000 37748437861451/32937352161000
195251565523/258575851500 2351980087313/2068606812000
668418031/882069480 1494472915/1215295728
20140933676609/26575376630280 34451893647601/26575376630280
161944057136887/213254880817800 227830597138289/213254880817800
72621979348793/95553120321240 8174405445997/6370208021416
3315239146591/4360488393768 9117615770933/7267480656280
33641271426703/44195045385540 22556070314417/17678018154216
200694334027/263547733800 104472898773/87849244600
32198206396273/42223782813720 45131484152923/42223782813720
27122672853137/35539394778840 113365112481419/106618184336520
35785607893/46864203500 39854797907/35148152625
18136756690291/23728058319720 268326249552541/213552524877480
163225812029269/213545772783600 299656144562649/284727697044800
522771733273/683123224116 33819961221859/27324928964640
193853662960991/252711501675000 313272387913487/252711501675000
233413685465548/303251114184915 1023313775190139/970403565391728
670783386979/871465227120 306504605869/261439568136
106327216402201/138079823199960 168664455658723/138079823199960
88517191/114773160 139351373/114773160
1144454401/1483346280 5034137/4784988
22086404024249/28605934382040 34743206728627/28605934382040
1490295591681/1929780535000 7028079448151/5789341605000
39747218840209/51368789244360 59796883706419/51368789244360
2879/3720 359/372
6462988324291/8311835489880 7032495084283/6649468391904
178838485037/229524700600 819773602757/688574101800
2696849652101/3452193625080 1906890626215/1611023691704
5830527786089/7436338239390 139678126167947/118981411830240
8925121821961831/11342303498585280 9629655512111329/9073842798868224
679609274998/863313670635 17504168722487/13813018730160
89884223987/113929586760 27144008261/22785917352
5571030634963/7047065502840 642887168547/469804366856
5166186715363/6526341736800 33042993563009/26105366947200
191406265349951/241284411537720 53116692659749/40214068589620
16967833379/21376200660 16003351601/14250800440
3979802703003/5012568533960 6617446641587/5012568533960
661612219037/832085580540 1099131600643/832085580540
20680685593/25990378920 96169756647/89522416280
19794098485/24820099656 1499698198961/1178954733660
319247327561/399199153860 3579457967339/3193593230880
1309027089623/1632535909080 1762944386929/1632535909080
441429074783/549583377240 65527889161/54958337724
1307029946777/1624092681624 8735411076647/8120463408120
571364817021/708774083720 1362180223801/1063161125580
3948679277916509/4895154918712680 5252885840903491/4895154918712680
5895703516697/7303598741400 7999907594969/7303598741400
8252493652419/10201951736300 16372314945607/15302927604450
61712337633/76219148200 497133568381/457314889200
2072105044663/2555731939800 2780836763321/2555731939800
3909391320997/4810750036984 77718125909881/72161250554760
24911560181453/30651956653370 1584159814712779/1471293919361760
10681504643083/13131415757080 1739750774138677/1615164138120840
308663242201703/379130695816080 541866808244227/505507594421440
78278953/96102480 411534691/384409920
6463427300781481/7925769595515720 8546915795276579/7925769595515720
2860948029461/3506489098980 1511348927539/1402595639592
369432786971/452642394360 289878075439/226321197180
5405960850598921/6619645150954160 85227655348199621/79435741811449920
778654326211933/952334513952744 5114003079897467/4761672569763720
9611924941201/11751773617740 25228851718597/23503547235480
13779855475211/16821269747064 1512953191331/1168143732435
15575535757/18994091592 101530891711/94970457960
1092005885903/1331483622600 467800772727/443827874200
4360018841047603/5306330361256920 635860025465967/589592262361880
57732089381789/70125993609720 18786519367937/14025198721944
535210122029/649632628440 2068133968931/1948897885320
40192390093/48601764040 13044031977/9720352808
6962505917/8419100280 53908850717/50514601680
4555181046157/5501117857560 471777814525/366741190504
1540668215536609/1859200509745800 673188325957181/619733503248600
11077710551/13295034480 6738305599/6077730048
11494989939367/13793539385400 19852704270137/18391385847200
2678521116709/3212109899160 3470559137299/3212109899160
277889245339/333014147040 284181957113/222009431360
44594398586783/53255065678260 115140502731779/106510131356520
1041/1240 5273/3720
47990535430471/57090841453032 624225926415817/570908414530320
908633072066089/1079466566340000 29755965698301/22488886798750
106863526699/126724772280 129427703981/126724772280
670894952191577/795129170325000 1050652310125139/795129170325000
254222096159/301175193420 75182838089/60235038684
36414916829/43129367520 8058718823/6469405128
206503062329/244374194740 6477347860943/5864980673760
21022651759601/24861307305000 16449772608941/12430653652500
5723361691/6764248050 34138670567/30922276800
4680486477841/5531482761180 2760142793411/2212593104472
251359802887/296611005140 739770974131/593222010280
74879716305649/88292010865560 195621823194013/176584021731120
158359/186651 1467033/1106080
3077088182327/3625674037000 7197704655571/5438511055500
1025010232601/1206821043480 301851784823/241364208696
140786599721837/165755564979000 218201018622109/165755564979000
86653920151/101879740440 138298850231/101879740440
311989281115/366540424584 2377507508807/1832702122920
12251157017/14364508440 18375915743/14364508440
59192283136177/69332746350660 122164741115995/110932394161056
2810816959591/3288663590184 2302064832863/1827035327880
1604542434743/1876533156840 471466416553/375306631368
2057738579621/2405801283000 3015423343447/2405801283000
139492986429/163037944120 122339374903/97822766472
1713429470303/2001195538800 9958766761129/8004782155200
992202687037/1158730384500 295503950573/237688284000
667541959921/779170251440 773628425347/584377688580
62309952779863/72724497629640 6098792319559/4848299841976
922038072611/1075980692352 26767368550349/21519613847040
20391581087/23767687848 161899715699/118838439240
20651044626297/24028779694840 30163646776243/24028779694840
6967668816083/8103807452220 21186122612761/16207614904440
17838398353/20725480280 74399081677/62176440840
702333201439/815915162760 354049371323/271971720920
4141173170329/4806785819480 6024036552461/4806785819480
3841855561/4454242440 20232521929/17816969760
307398351632591/355755268788120 150727609582/120513302435
16273773100859/18832745146760 662733448955593/508484118962520
13782359/15943920 6052741/4783176
312578451821/361349517240 462071773951/361349517240
124965137333/144324672600 41205227579/36081168150
63387430807201/73197431809320 92109481459979/73197431809320
67265711701/77660181960 176896763171/155320363920
42862225907/49459308360 3386995243/2697780456
514194318645367/593047295694840 743419275395233/593047295694840
179715496848163/207260231415840 62394357872053/55269395044224
334351691/385366580 584829829/462439896
465028027433/535403868120 674380343683/535403868120
710210006362577/817588525401240 339616525168631/272529508467080
56986953387827/65588061654540 194193170141303/174901497745440
7866854601/9051644740 68244199141/54309868440
3719770565671/4279197568440 5373380672371/4279197568440
95982097703231/110305736924820 273432400867103/220611473849640
34417459769/39547366500 346517570239/316378932000
371893571/427302600 12792952117/13246380600
28111561313987/32297032820400 141327553054021/129188131281600
732053127187/840848150280 185618142987/140141358380
65935241/75693320 285539477/227079960
372057279761/427106132952 2320284962831/2135530664760
5535012975409/6350792269560 2631997957013/2116930756520
10174824587/11667511540 76628690183/70005069240
724138339903/830054010420 2056333673731/1660108020840
16960900727/19402805760 1259017451/1194018816
31703480577/36213826760 9146109487/7242765352
407818546733/465627813240 121888262957/93125562648
4257055328623/4847592685910 47961601273801/38780741487280
3179184147589/3615706507800 1443819379351/1205235502600
50382931/57291720 225248137/171875160
7856399287/8928951080 32090686231/26786853240
37593719143/42655711080 18377060373/14218570360
829354949807/940485270120 403682838517/313495090040
160280041/181688520 171051379/181688520
3283/3720 3593/3720
720955599599/816606011400 347867985161/272202003800
41528758081/47029758690 222142537339/188119034760
25805557918661/29212027717560 12525273107151/9737342572520
125068018097/141508647480 55498751229/47169549160
1180235201903/1335217228872 23569035243233/20028258433080
1030487990971/1165638232920 77717879891/61349380680
3485321/3939480 2979623/2363688
170469246469/192354500280 81932372057/64118166760
274984828177/310057600356 956388829679/775144000890
1547004243/1743704120 6058815409/5231112360
284697083483/320891926260 698986862179/641783852520
55014190091/61981992420 4740527849453/3842883530040
983759206907/1108228797240 455341812351/369409599080
26363070516721/29692354794600 34409012563907/29692354794600
343463818786631/386668375922040 14374173609221/12473173416840
13902597790619/15650520955080 6399474848417/5216840318360
47822075233376471/53787659153857080 12406914383544613/10757531830771416
543140453201/610873204440 775303743931/610873204440
37002059/41515944 1410184353/1176285080
28099448307/31502625320 338037450239/283523627880
7095268351/7948755880 6003034753/4769253528
210763746049477/235933758507880 796228577015411/707801275523640
27382748383087/30652809919752 65266522467197/51088016532920
81180026207/90719930904 17050178027/14632246920
17390389403242451/19428398406369816 109381865750053553/97141992031849080
723934386930173/808532418042600 938134501765871/808532418042600
29563390747/33011387880 39586026827/33011387880
12819057067267/14289596257380 10521127557053/9526397504920
299145854102899/333104110311000 424155803112593/333104110311000
26573834892283/29585685907560 387128237149/318125654920
44285139002059/49272648115800 55589356549193/49272648115800
6515243759/7242917810 94836076393/86915013720
56563949690269/62874629560380 12636809972567/11431750829160
950760623/1055453220 70948220201/65438099640
28179837818689/31271494855980 69172704614137/62542989711960
2435356557937/2700261900600 3271032467419/2700261900600
13792700293091/15282162195240 6177085154347/5094054065080
33782947/37425990 163423457/149703960
379886079173/420822957720 2067945994717/1683291830880
1070581187207/1181816222760 301834582889/236363244552
20846710747/23012518920 1809904237/1484678640
29413179589/32394626760 33861739669/32394626760
284889217279/313278390120 25066189107/20885226008
1227331225043/1349306031000 6618116643079/5397224124000
7904751628193/8685102821960 584639532393/457110674840
2533758081293/2781990866040 223384167139/185466057736
4411748471/4836762600 1935335819/1612254200
771118569445/845187258968 16185981179767/12677808884520
322722653881/352827499440 282398425469/235218332960
286723852307/313354828680 124481912259/104451609560
306890958/334645775 152359634339/128503977600
21643995129937/23593502156568 279516430988393/235935021565680
3071874238441/3345061456680 793987948643/669012291336
1695587321/1845666840 607221737/615222280
1935432641448161/2106653686689160 141450199944713/119244548303160
11880479/12882360 4155553/4294120
74141081/80348280 60333923/48208968
1105392283/1196764920 19807929/16621735
27501779/29622360 28555159/29622360
76944918913/82826299720 80873798253/82826299720
2994358969/3220489560 3199501259/3220489560
63554238947449/68336207176280 470246184403661/410017243057680
63898723921/68568963240 71230590401/68568963240
5084039569/5446509660 11681442013/10893019320
1870982783771/1999684379940 4477361458067/3999368759880
58766318209/62779772760 70866600059/62779772760
1153958061572179/1231403705814360 1417509029255159/1231403705814360
1164836677369/1242574499160 1439201452619/1242574499160
7582941634577/8077528685880 36211346735273/32310114743520
49148014969/52313478360 62902718939/52313478360
43015956413/45755789820 111276276101/91511579640
9486665466121891/10084261471088280 2326047189677945/2016852294217656
223728275117/237616783430 1185011477613/950467133720
683500857889/724906292760 924555754019/724906292760
100481744553/106467680920 137842134403/106467680920
4341972181747/4593092236080 1524953333693/1148273059020
3533/3720 5293/3720
382615543/401631288 673971343/669385480
12129234698539/12666417824780 21433759109779/18999626737170
3952858477/4126536480 23406080809/22008194560
774031/798312 2737199/2661040
30060553853/30890082990 59551784005/49424132784
18923421/19275800 69713731/57827400
110523836663629/109683416781120 3246079058705269/2720148736171776
629/620 97/93
1903/1860 2477/1860
893392111/867864840 1103679691/867864840
2629699003987/2499098152020 6165452185027/4998196304040
2575895936647/2440073310060 4771088114993/3904117296096
172360228577/162879043080 199297079507/162879043080
1991/1860 4361/3720
304
4  0 1 5 6
3  0 6 20
7  0 20 22 28 33 21 12
5  1 4 9 2 3
3  1 3 5
5  2 9 11 8 3
4  3 8 7 5
3  4 10 9
5  4 101 90 27 10
3  5 7 6
7  6 7 26 13 24 23 20
7  7 8 16 14 38 30 26
5  8 11 40 45 16
5  9 10 31 37 11
3  10 27 31
3  11 37 40
3  12 21 18
3  12 18 17
4  13 26 29 25
3  13 25 24
3  14 39 38
4  14 16 41 39
3  15 17 55
4  15 55 73 19
4  16 45 46 41
7  17 18 111 114 142 109 55
6  18 21 62 69 76 111
3  20 23 22
4  21 33 36 62
3  22 23 28
4  23 24 32 28
5  24 25 42 35 32
4  25 29 43 42
3  26 30 29
5  27 90 87 81 31
4  28 32 34 33
4  29 30 48 43
4  30 38 50 48
3  31 81 37
3  32 35 34
3  33 34 36
6  34 35 65 67 66 36
5  35 42 44 63 65
3  36 66 62
7  37 81 86 78 59 52 40
5  38 39 51 53 50
4  39 41 47 51
4  40 52 49 45
3  41 46 47
3  42 43 44
6  43 48 54 57 60 44
3  44 60 63
3  45 49 46
6  46 49 64 70 61 47
4  47 61 58 51
3  48 50 54
3  49 52 64
