166
658703/244440 176497/244440
94699/34920 44939/81480
168421/61110 10429/12222
4078965745867/1436606390520 26454350603/35915159763
29660436341/10438321320 960272407/1739720220
54889037288587/19302528971880 2571231554189/4825632242970
87484/30555 29063/81480
58792647131/20343309480 29945533141/47467722120
54863810119/18915011640 164335065/210166796
20777424191/7147344120 1056847979/1531573740
1489459674779/512057165256 204570540106/320035728285
15217603/5231016 1026839/1868220
313624869062237/107746752332520 17027216673097/21549350466504
17613215351689/6050143786920 750023080271/1008357297820
5026435140758557/1725861156660144 11324365693447/14912394786810
42412998350537/14558216070720 80188782215/103987257648
82968545071/28469132952 55793096231/71172832380
35536147/12185334 68061583/121853340
641895710840257/219870984339720 20609785627859/36645164056620
20400075020651/6985938025080 2601239332997/3492969012540
30720829/10510920 978787/1313865
218686389677669/74821042437120 13836616184339/18705260609280
160868217823/55033466040 1602012773/2293061085
37007079553277/12659606835960 3225508818268/4747352563485
516339503947/176617433160 14256653476/22077179145
8778982823/3002700960 464143357/750675240
14643548257/5008534860 660189811/1073257470
36517046879/12488439600 23652145/41628132
38088374733139/13025646889560 2139083377559/3799147009455
120252387989/41124096720 5749584209/10281024180
436735183/149352840 10316174/18669105
2722392803/930936160 4629564353/6283819080
1407517927/481302360 31542121/60162795
6747415187/2307269160 150363226/288408645
50517697327/17271054360 3389150713/6476645385
258205684879/88212733140 16237087019/26463819942
36534744616275859/12474236253412440 4556808862228379/5821310251592472
40018819/13653720 493937/702765
110830646867/37770624360 18327752242/33049296315
24575533209403/8370370164240 1172454376333/2092592541060
51460386871/17519259240 489227794/729969135
161181781213636957/54872907819849000 1291389058444301/2286371159160375
532830249247/181394768520 905588092/1511623071
209852186694443/71384208459480 721527077579/1019774406564
25439977/8651160 706586/1081395
735737148467/250029609480 2406279799/3968723960
125948355121/42798964680 38232685553/49932125460
35529545266440691/12070745787231360 1458596695373593/1877671566902656
532096241862968921/180756122624019240 494487857223609721/632646429184067340
32053749015676001/10880855148650760 98946008208101/120898390540564
43290609594137/14691030263280 2189987502119/3672757565820
241428251/81887400 21656204/35257075
1268034929218732277/430050564829431000 32384720119921658/53756320603678875
31780065781151/10777083260580 3251389785947/5388541630290
709211267/240427110 1312479107/2163843990
16600448941937/5627293432920 4749465063281/7878210806088
30932493241357/10483853892120 22578147268/37442335329
21276511/7210980 241403/400610
336106495738787/113843681143920 6107792546173/10119438323904
4558204874985001/1543738506783480 155319833232941/257289751130580
42889323179/14524795908 53598192167/88762641660
641332635570331/217108055553480 5964507729686/9046168981395
4116011829871909/1393004139813720 36174741025054/58041839158905
25801/8730 79949/81480
9948290646072619721/3359527323805915560 1206495901855035553/1567779417776093928
1817738858578871/613471861696680 610441589068961/920207792545020
84790807604815511/28610331847067880 2335403353595048/3576291480883485
501179943937529/169009587220320 1364165136613981/2070367443448920
25221711989/8499912120 2120521856/3187467045
2400555260627/808332036120 59258815/81897876
25171145660880743/8472167310038040 392254537761383/605154807859860
1323488508822191/445358343019464 240071611156249/371131952516220
1034957987715181/348217078509720 6262629729147/9672696625270
575829363829/193500567855 226478835563/516001514280
1799710347691/604338374052 82509085911191/129932750421180
52654891638263/17666656641480 291063163766/441666416037
10455868804217/3505686163784 50534553936493/78877938685140
694106164523399/232527482428500 16060155696773/25836386936500
145993/48888 69019/122220
22063587224632259363/7382109685105207080 453639417801481831/738210968510520708
522258558179/174536271000 53052467561/87268135500
792269790693/264736874416 1945469244391/2978289837180
26847282526380559813/8953865327363520600 32481516699938909177/41784704861029762800
17264418826939/5755760065692 4026367873891/6395288961880
9525588353/3174379320 42378443/56685345
2386689543890683/795316564976640 21194333780809/28404163034880
