154
379/390 -239/195
3191/3250 -5518/4875
231929/224250 -136789/112125
174491/165750 -103681/82875
4097/3750 -2077/1875
41957/37050 -41999/37050
15803/13830 -7723/6915
2064423/1806250 -12119291/10837500
35171/30750 -188921/169125
1997939/1740750 -1990523/1740750
1347797/1171950 -670927/585975
95993347/83437950 -47738822/41718975
272558087/236907750 -406647376/355361625
1899611/1650750 -1890827/1650750
541091/469950 -538487/469950
51657631/44773950 -25507946/22386975
2151113/1864050 -1061308/932025
690007/594750 -359387/297375
3269557/2817750 -13349371/11271000
30656021/26414250 -30423947/26414250
27254661/23481250 -160151687/140887500
23905226873/20594501250 -11624039818/10297250625
1536457219/1323660150 -248846768/220610025
1102027/949350 -531707/474675
1266643/1087050 -609263/543525
1578752161/1354687500 -506590059/451562500
6275857/5382750 -3017237/2691375
1148363/984750 -198261/164125
2844790831/2437353750 -1377614996/1218676875
962789833/824372250 -465643678/412186125
63672131/54269250 -31476421/27134625
355153/302250 -169673/151125
62295539/53009250 -30778549/26504625
2475833/2103270 -1222543/1051635
31641/26750 -145229/120375
405783167/342751110 -195660206/171375555
55495333/46809750 -28231553/23404875
1516253/1277250 -825898/638625
5074746301/4274406750 -2498518391/2137203375
174345894949/146757812500 -507500567779/440273437500
103817447899/87382746750 -50272955684/43691373375
1265484581/1064573250 -613206496/532286625
17956049/15098910 -8495509/7549455
1533713/1277250 -1504391/1277250
9923689/8258250 -5358824/4129125
14770447/12177750 -7329427/6088875
28191859/23234250 -13123919/11617125
1186/975 -4633/3900
1243167713/1011572250 -586691878/505786125
37273146643/30217599750 -17659048388/15108799875
780469/630750 -378929/315375
199627/160950 -91307/80475
16822933/13546875 -62827099/54187500
2313413039/1860231750 -1105409674/930115875
18428287/14810250 -11648492/7405125
1662179/1335750 -802039/667875
16648/13375 -193607/160500
93928633/75182250 -4379998/3417375
109657/87750 -69412/43875
395272747/316280250 -569491181/474420375
97601/78000 -204889/156000
12223/9750 -6293/4875
24728299/19724250 -123382297/78897000
4026167/3207750 -2517572/1603875
612281693/487470750 -380606563/243735375
238228993/189549750 -115067363/94774875
6041495059/4804146750 -1256230748/800691125
2829149/2249250 -1777559/1124625
1829387/1452750 -384114/242125
58348333/46312500 -73183481/46312500
891613/707250 -402533/353625
104149327/82593750 -21826044/13765625
5964671/4728750 -1251062/788125
39238571/30995250 -4372777/2817750
2520843493/1989887250 -1558150988/994943625
16499549/13016250 -10275209/6508125
91534307/72198750 -19037104/12033125
8753351/6903750 -1822272/1150625
927469/731250 -581554/365625
883433/692250 -183926/115375
726659/568750 -64067/40625
33266081/26016250 -20587746/13008125
316963/247845 -1217809/991380
279416009/218383750 -172223069/109191875
11438521/8937500 -320388/203125
272228909/212696250 -55904198/35449375
70719/55250 -2562/1625
362856033/283448750 -223481503/141724375
5930143/4631250 -10957789/6946875
3236683/2526875 -7966987/5053750
25647861/20003750 -31606327/20003750
8246597/6425250 -3846577/3212625
488347/380250 -903106/570375
47001031/36578750 -28858821/18289375
3860939623/3002723750 -2367985068/1501361875
2818876/2188875 -1167019/729625
16865939/13094250 -8346199/6547125
50034457/38844000 -45979943/29133000
8082264037/6272360250 -14843447726/9408540375
2575663/1998750 -1574083/999375
50849731/39458250 -658873441/414311625
189240329/146718000 -15790361/10003500
59749766053/46321869750 -109634594969/69482804625
402511/312000 -368689/234000
12439683803/9642369750 -7595869823/4821184875
913978456/708430125 -1116153992/708430125
7279619/5635500 -2195552/1408875
22525179/17436250 -13907539/8718125
929047/718230 -410927/359115
765741139/591269250 -40943059/26875875
333089/256750 -617672/385125
18425/14118 -8791/7059
1803931/1381250 -1091471/690625
4477247/3427125 -1775068/1142375
217541/165750 -36527/27625
19193777/14615250 -9739957/7307625
3703397/2817750 -39111967/29586375
31482937/23950875 -31619509/23950875
352424789/267686250 -161007049/133843125
7440269/5635500 -1774802/1408875
28228079/21374250 -13417189/10687125
716914/541875 -133373/108375
5410187/4085250 -2569267/2042625
10481169683/7902579750 -4727236903/3951289875
1228501/923250 -531341/461625
635519/469950 -599633/469950
3849511/2817750 -12211907/9862125
2958983/2154750 -1651828/1077375
40369/29250 -186619/160875
344353/247962 -145909/123981
179459989/129119250 -75776924/64559625
411331/295750 -2821577/1774500
113653391/81714750 -9602531/8171475
115803859/83196750 -59894294/41598375
19611689/14088750 -80515217/56355000
574771/412750 -840608/619125
20459965543/14688774750 -38478605777/29377549500
287592518401/206392748250 -127899234491/103196374125
32719961/23481250 -174103037/140887500
998378383/716439750 -438987853/358219875
10849921903/7784019750 -4590151298/3892009875
102091051/73240158 -42941351/36620079
1323391/949350 -551831/474675
7927/5646 -3287/2823
168569/119250 -314209/258375
110261417/77795250 -47160697/38897625
235091/165750 -1106591/911625
13873/9750 -6818/4875
422079187/295863750 -59339089/49310625
3517123/2447250 -3357011/2447250
14203/9750 -5723/4875
244841/165750 -214937/165750
1038367/672750 -157549/112125
258731/165750 -115771/82875
145
3  0 2 1
3  0 3 2
6  1 2 17 9 5 4
5  2 3 37 27 17
4  3 54 62 37
3  4 5 6
3  5 7 6
3  5 9 7
3  6 7 8
5  7 9 10 11 8
4  8 11 16 23
5  9 17 18 13 10
3  10 12 11
3  10 13 12
4  11 12 15 16
4  12 13 14 15
4  13 18 19 14
4  14 20 21 15
3  14 19 20
4  15 21 22 16
3  16 22 23
3  17 27 18
5  18 27 34 30 19
4  19 30 28 20
4  20 28 25 21
4  21 25 24 22
3  22 24 23
3  24 25 26
4  25 28 29 26
3  26 29 31
4  27 37 44 34
4  28 30 32 29
5  29 32 33 35 31
4  30 34 36 32
3  31 35 42
4  32 36 38 33
4  33 39 40 35
3  33 38 39
6  34 44 60 57 45 36
3  35 40 42
4  36 45 43 38
4  37 62 64 44
4  38 43 41 39
3  39 41 40
4  40 41 46 42
5  41 43 47 48 46
4  43 45 50 47
4  44 64 73 60
4  45 57 56 50
3  46 48 51
3  47 49 48
5  47 50 55 53 49
4  48 49 52 51
3  49 53 52
3  50 56 55
3  51 52 70
5  52 53 59 91 70
3  53 55 59
3  54 63 62
4  54 58 67 63
4  55 56 65 59
5  56 57 61 96 65
7  57 60 115 116 114 96 61
3  58 68 67
5  59 65 82 108 91
4  60 73 109 115
4  62 63 66 64
4  63 67 69 66
4  64 66 74 73
6  65 96 119 120 111 82
4  66 69 75 74
4  67 68 71 69
3  68 72 71
4  69 71 76 75
3  70 91 108
4  71 72 77 76
3  72 78 77
4  73 74 106 109
8  74 75 80 86 89 99 104 106
3  75 76 80
4  76 77 83 80
5  77 78 81 84 83
3  78 79 81
4  79 92 90 81
4  79 95 100 92
4  80 83 85 86
4  81 90 88 84
4  82 118 124 108
3  82 111 118
3  83 84 85
4  84 88 87 85
3  85 87 86
3  86 87 89
5  87 88 93 94 89
3  88 90 93
3  89 94 99
4  90 92 97 93
4  92 100 101 97
4  93 97 98 94
5  94 98 103 104 99
3  95 107 100
3  95 110 107
4  96 114 117 119
4  97 101 102 98
3  98 102 103
4  100 107 112 101
3  101 112 102
4  102 112 105 103
3  103 105 104
4  104 105 113 106
7  105 112 107 110 131 127 113
5  106 113 133 134 109
4  109 134 135 115
4  111 121 123 118
3  111 120 121
4  113 127 131 133
3  114 116 117
4  115 135 136 116
4  116 136 137 117
6  117 137 138 125 122 119
3  118 123 124
3  119 122 120
5  120 122 126 129 121
5  121 129 130 128 123
3  122 125 126
3  123 128 124
4  125 138 139 126
5  126 139 140 132 129
3  128 130 142
3  129 132 130
4  130 132 141 142
3  132 140 141
3  133 147 134
4  134 147 149 135
4  135 149 151 136
4  136 151 146 137
4  137 146 144 138
3  138 144 139
4  139 144 145 140
5  140 145 148 143 141
3  141 143 142
3  143 148 150
3  144 146 145
6  145 146 151 149 152 148
4  148 152 153 150
