171
102343/147030 58943/441090
5531/7394 3253/22182
34681/46154 2901/46154
1410266071/1859561974 720880943/5578685922
118126273/155021530 19088499/155021530
46970802369/61559885066 15869322603/123119770132
2020787/2641918 737769/5283836
1392770363/1818810110 262921479/1818810110
1559923637/1991797038 788816381/5975391114
665104337167217/841724180723098 320624989268911/2525172542169294
535565/676594 98634/338297
8933/11282 823/11282
959248636999/1207914572596 1743238279/14045518286
18327965649/23075702810 2923286803/23075702810
471137/593158 75557/593158
368299/463420 677/4930
217679305979/273652374500 20933685689/136826187250
7729/9706 7369/58236
23603/29580 1021/4930
14589357/17910398 6390101/53731194
147175204847/179024502590 18613390951/179024502590
99657979/120568216 73169753/452130810
14006150/16647369 11364931/33294738
20077/23818 1021/11909
23160440044663/27444750775582 2422480952663/27444750775582
907705807/1074380110 171511/1888190
316766123/374314142 32402263/374314142
7207185769939/8506441675000 188438845037/2126610418750
2061299/2428526 211759/2428526
1320223/1553342 323711/3106684
7793239/9124826 935029/9124826
2402311/2790380 2364319/12556710
2799327038785/3250072317384 370267970708/1218777119019
7/8 3/32
4002674202443/4563076415750 804077659051/4563076415750
210747917/239583210 14590793/79861070
6833538596/7754138889 1376473489/5169425926
781187739831/878152280500 710256023189/3951685262250
192677/216410 45649/216410
3000947/3368390 658376/1684195
72695975/81204954 16046749/40602477
432780/482329 383231/964658
1242496266565/1383912466968 2909379154317/7380866490496
50436068750443/56163384898310 359728309895459/926695850822115
3977328492581/4425125515674 344153613857/1475041838558
463416282398/515521451285 11196541360561/28869201271960
2968464/3300635 3074354/9901905
97804388/108728685 13932487/36242895
35049332/38742405 4585578/12914135
15038030331/16620483500 16609095311/74792175750
37545212/41241915 4435813/13747305
379972/416585 130274/416585
82813626592/90496009305 9891826018/30165336435
24478453604/26608533705 2956030171/8869511235
45626981/49573615 2224946/7081945
92168852611/100105375500 921385207/2780704875
61280388736/66553203015 2471298898/7394800335
456438806373371/495248644834070 93878203074356/247624322417035
10888343824824755/11812796188635426 757247949081992/1968799364772571
153340340331615/166330537509752 2334261645163/5940376339634
3041941/3298170 324769/1099390
50837956619/55117528180 46888923109/248028876810
11791345/12782386 2700076/6391193
160667001/173299360 10246891/32493630
19715636/21245835 385295741/1126029255
159330717361/171312751250 27056166026/85656375625
27754601/29702094 1646907/9900698
1852770418716833/1969639834288050 1241777826040711/3611006362861425
8638230363887/9105265927350 4432820371687/12140354569800
24539290729/25833748930 52324865969/142085619115
1250727477975869/1315015804637980 5803868671666141/15780189655655760
444229016789/466834729956 927969981203/2489785226432
975356391743515/1021852815173994 1518654606679417/4087411260695976
11015692593/11511711602 4452771343/11511711602
3482471407/3634970200 437261284/1363113825
3417043/3550858 3557937/17754290
23788616841550/24607519398551 56855454173107/147645116391306
47713/49300 20011/73950
1280371828159/1318931170126 279214929142/659465585063
312523806509/321550563920 19487016649/60290730735
1082459/1113020 552737/1669530
39092220670579097/40140007972139360 5243967069175609/15052502989552260
354043764439/363230935030 130302797971/363230935030
28943293217/29683389750 291192187537/801451523250
9493676501/9720821000 2794800601/7290615750
49750096300886/50883632392805 121286013898447/305301794356830
3079019224843/3142556602750 3993267946597/9427669808250
1719680/1754349 1685011/3508698
469657/478210 216809/478210
60269403240122891/60606489944882470 479068462337401/1364266144734735
40180380627/40237406590 42196511987/120712219770
28930597283/28908305690 171588379311/404716279660
8044148683191/8034419306980 40809591266839/96413031683760
65159937600425/65039243171144 26142213102531239/61657202526244512
487598701370431/486467096566200 21417979305574/60808387070775
534843273401/533493865734 62661538567/177831288578
529311878172711815/527861340873923226 92976920004234691/263930670436961613
68323516/67390635 29467807/67390635
2694633509350/2634887014107 2355853915333/5269774028214
5740994492245/5607019096121 171339059321959/403705374920712
91428529/88561126 99248207/265683378
10166557/9845210 11038777/29535630
2981564149/2886858570 3234578441/8660575710
1576039/1523370 190481/507790
38835226283/37485417282 41937283669/112456251846
422464863/407664250 21715037/58237750
67297419323/64877297910 32570854234/97315946865
105864175/101546406 61459751/135395208
