167
4812121/11528400 813103/7685600
3968998673/9004144800 813103/3887800
1158583/2605320 3932101/17368800
67196063909481992763/148386960898619744800 7683150533362314887/37096740224654936200
1057992070360289/2332848956906400 79904539305439/388808159484400
355918347849993/751742895181600 59507607760987/375871447590800
15804873254017/32329821242800 7879031537203/64659642485600
290712421121138144061/552101227289210245600 2243023304127848960431/12146227000362625403200
4188481561099/7815571556000 1180319593343/7815571556000
14939681414876553101017623/27870091729216498053572000 6194508187846679794719929/41805137593824747080358000
142955416446297018763/265689447838004381600 27882625119270269621/265689447838004381600
127581827656885659/236909208656914400 4294035796519937/23690920865691440
806585415939101/1496993408850400 66476797032001/748496704425200
771651444463951/1429485305290400 47977483384351/714742652645200
4044252764541520631918066487/7466942343263690954155141600 358681757850010578035455979/1866735585815922738538785400
5643816758645663876643439/10420185116123920213651000 6305737936850462570582017/41680740464495680854604000
13930723290349739689/25107099897184565600 1086743738413120289/12553549948592282800
9798693150590299704489/17484214041709710457600 826009426811357500169/4371053510427427614400
14455178525952138371642161/25695685126955368254118400 77507099171906747764441/802990160217355257941200
370405978315959231647/642941172806838159200 13704797715796797223/80367646600854769900
111773701993818101047559/193695290186422597924000 40657506511886070820937/193695290186422597924000
484409429086845246848913/839343723969946969540000 528192061828271660442227/2518031171909840908620000
3036231892359738722654779187/5204449851472644789592118400 69928309334403839570842457/354848853509498508381280800
309951825392227053773818779114997/525496500182822159296446525737600 1859617629405788142937858133113/10105701926592733832623971648800
687148612983567352670911737837/1160557196567735930423967367120 1249482807569897538368918609587/6963343179406415582543804202720
59835087021833448639806003/100081299639524020623413600 4570249619902940055890359/25020324909881005155853400
1634888869208543831099164423/2725651464228388386205080800 446357297651055596577218579/2725651464228388386205080800
104832968675814790438994371343323/173413028202474647832103007888960 13370802822636533076774484037701/86706514101237323916051503944480
2172605881407902229991747013883143509/3587767072817983548017792008630720000 51164568363195927626471410516503473/336353163076685957626668000809130000
3806313344904107653123/6267842808747081795200 120918624203934077407/783480351093385224400
1601131442996907677591/2616651975472799029600 209741541513732215777/1308325987736399514800
1678155832543/2721326825200 424095730087/5442653650400
67649033751263/108138867100480 24059494084531/135173583875600
9922076047350307/15767627160975200 2449602737696969/15767627160975200
89183850952142346339/140609502577991252000 19907946533927092837/83605650181508312000
656180319000398637/1034443410567651050 2575210631520066899/16551094569082416800
6047806814848261503/9523040510769336800 1463697477275716367/9523040510769336800
6175428346461611499724029/9589082589593189649846800 2094529626445497230530957/9589082589593189649846800
10051649417476240566457633/15607216538910064094764400 2312732112181635215426003/31214433077820128189528800
2431536437797520735109631/3756127148523170230734080 31632761490858714101179/469515893565396278841760
692840809329846091739862709/1069374485683956232661678620 1801430365422141559802575373/8554995885471649861293428960
2091051030755239753840464483907/3180864455611032543298990246800 17017555435560404587516152799/235619589304520929133258536800
15346558025818585760288595625954243355469/23063439071707754063297852013285993461600 1755218177168808209736919219370908292783/23063439071707754063297852013285993461600
8935627188347239/13387215297064100 7583924752723919/107097722376512800
29529142692504582970919/43932221584114747605600 2585322803657239144123/43932221584114747605600
8971749590398884821780145577/13307718466434281270061824455 67046100865419513008344117649/425846990925897000641978382560
103802242985819117062087/152033359724470536695200 468568322287804837218757/3344733913938351807294400
432447795651/629372351900 103658195521/5034978815200
151668832047458580433/218915818383852380000 77375433091369034359/328373727575778570000
1853981014113577158170966298750988608367/2629933982381314260755062467613936930840 1001776427687560481611334595327834745831/10519735929525257043020249870455747723360
173450165328251453/240910887320265800 40866490074401329/963643549281063200
6094204441867/8462836571800 8491928560981/33851346287200
1725884882095581012063/2394679877229884096150 2427815141387589830149/38314878035678145538400
585438012779538206989/803995903994263143200 299193306699080177641/1205993855991394714800
89162383676140494593241103/122419055945753436138953840 5871129719659659211094937/122419055945753436138953840
3379823703975824687837/4608686998839416068440 696979097423410351651/18434747995357664273760
3435637941/4634085200 1171261793/4634085200
400122042301/536229586900 256545085171/4289836695200
186835927993049816441550967895459/247445390433271805730244351202400 3284388199063158085390617490207/27493932270363533970027150133600
752414619045918655085881169/975127802029326734778723100 438772494189306689301573889/7801022416234613878229784800
46214606843983/57811949084000 873413421011/57811949084000
1017488197722315563/1264974260891529600 7261526638643603/140552695654614400
9789422594204986169026273047/12125953693887015222714074000 890748155158410734883797429/12125953693887015222714074000
82067957797345449600027/101152729433967888638000 10424513787616800241829/101152729433967888638000
32995561063823415389/40666374596288234400 1401474641258215379/13555458198762744800
194531711926767/239662746231200 49513201438003/479325492462400
1792038590325914474357142317787/2191669222524685928813871004000 328160880602553152083317587359/2191669222524685928813871004000
15822086647531/19308074225600 191349634853/3861614845120
17041571290513103083188027/20791998982098127091204000 3413954196046521094797239/20791998982098127091204000
189369542674308113492057/229146336998620071488960 245480153522127208437493/1145731684993100357444800
218535144075812474433/263396185378862946800 62781295756997991539/263396185378862946800
69587878948740011040813/83574092298337905564800 559706478045975423127/10446761537292238195600
1524479955729/1830687077200 95512788779/366137415440
8161142686639860993857259/9791651851546150700011600 931962228719241825501001/19583303703092301400023200
7107520496751617451/8462148551882070560 9965894276854377/8462148551882070560
593521979920587/706092602986000 167045656645741/706092602986000
6864861143154705066640916947/8138056833791268498692942000 369987075954145745281447427/4069028416895634249346471000
1664912855219717/1969874758487200 36930479526629/393974951697440
386056925845040895629916404643/455351816331173500227402864800 84683091378536191035203760577/910703632662347000454805729600
39467511337997/46408164128000 9559231932251/46408164128000
6394407068490584295711024966627045483/7518062898698755603414526782807688000 622613059500876136978106611239335953/3759031449349377801707263391403844000
758995331135799076014091411/891840032438638374758372000 35304980180270773808453101/445920016219319187379186000
371310563029754132103450420846353/425028408662930188892781545216000 19544683003490122165309417538897/318771306497197641669586158912000
2473327/2830600 43407/707650
125291949065195339140087957131/143389124953297703718162589400 35185302320540069830062133293/573556499813190814872650357600
964859691487530959969941200694809/1103813053522389344297380716059200 25214783380745155035909898462063/413929895070896004111517768522200
858397878945829331/980600809313170000 35689534007898753/245150202328292500
84500279467363/96443323247200 5928165598651/96443323247200
169743331067035288055189611650861787382599/193683291616340488384799558520654029849600 2862168405283229939553010984587868790077/48420822904085122096199889630163507462400
715926622876209343/816783605872374400 454384909156091/7853688518003600
10287373723098281522449325235285953/11731063406859192067494484257031200 2179854303630049096018075160879513/35193190220577576202483452771093600
