213
2079401922074147/731446443199680 19477573002073/73144644319968
814791455477/286140905280 25384280353/64381703688
39656902952273/13793593317120 39769614383/76631073984
297246194491121/103143073745490 45577370776425/110019278661856
2950893748096561/1023033901707840 12788407527495/34101130056928
9318538545481/3229024650240 477976390673/861073240064
37876579493743/13098414337920 601509098/2274030267
120106601625596233423/41308847412379096320 124604183959380385/229493596735439424
542209181100529/186250740274560 29361548416519/37250148054912
118643213/40600320 2432159/4060032
10269129551/3511927680 287415220471/491669875200
1804986800408203/616561778161920 17192485877261/30828088908096
89014118157739/30369161160960 268137656053/506152686016
19065007990855921/6499003330467840 3077226404125259/5199202664374272
11781615345481/4014945344640 128786143255/200747267232
187389011585353497/63837836106126080 4748606818956917/9575675415918912
39788071/13533440 1867369/4060032
2627261607142439/893027708386560 111824552944049/178605541677312
737944046767363/250679002379520 342042432167/759633340544
90770693110637/30772261438080 74393330332439/123089045752320
5474307769655659/1854568185892860 7192279932093233/11869236389714304
18645808770519149/6315757345442560 606504225343753/947363601816384
630023118286541/213399216426240 25816328918687/42679843285248
18878212020705441167/6388177949937588480 184651917044542393/319408897496879424
70374767256757051/23771229324666240 12754729779448591/38033966919465984
1749609092603379713/590548406932458624 430836149471967149/738185508665573280
755150803826955449/254261726989320960 28919863184170799/50852345397864192
53160924513667003/17881345551002880 1392537638685577/2980224258500480
2672630186497/897480223680 234251747615/717984178944
7413860969729762242257/2489005510025491329280 178974021406231921873/373350826503823699392
4322651683357039/1450188640268160 206621472461741/580075456107264
11622242158345961/3898662506082240 369437118430045/1039643334955264
14850863723962588091/4981455242377860480 1421469682166065609/3985164193902288384
30277127/10150080 949009/2706688
1087364657819363323/364495681622824320 52301003023911427/145798272649129728
216400133456902499/72521805640983360 7379388248570495/19339148170928896
377230827587157703/126300949288216320 3960088473513313/8420063285881088
72776064300749681/24364896846282240 386076707740219/812163228209408
698449531846845432673/233833750593341030400 27837792059552257421/58458437648335257600
1433013467364595829/479719985013965760 185619586199329183/383775988011172608
1141365192321412447/382028284696039680 12684435191727887/25468552313069312
406064112993957099391/135907669128706998240 12935016567799386283/27181533825741399648
79571854822257947/26624444359983360 14120824844930689/26624444359983360
1277588696774933/427358196913920 47547159208843/85471639382784
1888422147195903209/631359204646963200 95423749843788143/157839801161740800
9406164239720473/3144513906750720 385163780186105/628902781350144
1040859491661497/347871773474880 59095375158299/92765806259968
18823030287923486629/6290942937416693760 200438362556295403/314547146870834688
133769816710234069/44704634307195360 7121582372216339/11176158576798840
3653043534197/1220608020480 40272795761/61030401024
27652076385145516393/9236651113490344320 1162247365519253425/2463106963597425152
66998387509969404508391/22378181447289314527440 4238745356271468431605/8951272578915725810976
1295552345072907079/432629595192671760 27678709926891605/57683946025689568
410932698313836849671/137184834556852031040 53538119369869334425/109747867645481624832
88760758231800894751/29625787751032611840 3897365108561299295/7900210066942029824
332095681746315646531/110823455343208618240 7854650141518537159/16623518301481292736
17038294297823433443/5683202408944741920 2324395119964308635/4546561927155793536
61240210902246527707/20406932565561934080 333710990303443811/680231085518731136
2620501455321006611/872908181159055360 382911324747721657/698326544927244288
438451477738653227/145886116459649280 4487305179617389/7294305822982464
40676491/13533440 5791973/8120064
49037949514053841903/16309651930559147520 1609650359338892887/3261930386111829504
2517860011315427321/837297049711799040 13595528187748487/27909901657059968
2227727411050177/740747154355200 1730785929035197/2613191350086400
24318626607533493/8085692689361920 796139779410547/1212853903404288
85078049970561629/28285212477428160 14690595217385393/22628169981942528
17954723911029065813/5968348448610206720 569394273020267057/895252267291531008
17124221331253798721/5691076865556710400 292985254396734829/474256405463059200
27417270862385593/9111675835531520 3366991936145861/5467005501318912
58063613792031461/19295945422520640 1714105794344290175/2794052897180988672
966196124215253947/321081561439063680 15679129744000625/32108156143906368
693581322861659251/230473425473696640 113566777510573265/184378740378957312
166492648340202767653/55319982665051885520 6840561214407203045/11063996533010377104
14140109359513/4696634867520 1291682497373/3757307894016
1837923109932439827/610448500783566080 59223043234048717/122089700156713216
354428780254230638497/117690610557648409680 3741243213138003865/5884530527882420484
462207764554551923/153476119138392320 49933682874168989/92085671483035392
8551332938829897093/2837974502292072320 1691655919819210075/3405569402750486784
20256797459085547/6722262352980480 329904512025131/672226235298048
2432632289389/807256162560 140685038365/215268310016
9516234482102644601/3157716533056208640 33925789309851201/70171478512360192
600116033788746223/199122395694631680 95353415130134513/199122395694631680
1105070193548197663/366658709109349120 104791180369647175/219995225465609472
5158218470814481759/1711270752503321600 75918085049767186063/162998539175941382400
2854441676192548499/946769037047996160 90239150032975721/189353807409599232
10106516723985376069/3350090226205215360 175677951959195537/446678696827362048
30177373401693747/10000847399958400 22409004232191271/60005084399750400
3338307962669/1106006850560 57859305575/165901027584
11851269423197512921/3925111294335152640 34188373136632697/98127782358378816
381397407191766238061/126225245689075148928 36524009791518618739/78890778555671968080
1480418683144886953/489744965349016320 976056601156193/2040604022287568
16190072589437/5353619095680 830841828509/1070723819136
3334831042588949/1101740758402560 19414406972105/55087037920128
81892905731778604781/27015319654485776640 95198324423226091/150085109191587648
31378649096450370697/10327211853094774080 9172972180560049/14343349795964964
11569476525215758249/3802504713695583360 79826604193762927/190125235684779168
134176061596856551/44015132100263040 158180185588447/244528511668128
22886419144064517761/7502998414730667840 26380545255102527/41683324526281488
1360818341297857/445911514612480 191785460576237/267546908767488
3249581277331309417/1064637137267930880 54976728385886081/106463713726793088
185397891447071689/60714736621624320 24123539987188193/60714736621624320
398488678548947513/130448762428081920 6715820600445989/13044876242808192
205342191524962699/67130879516876800 33780662443519529/50348159637657600
17985538993435577/5873330251793280 980751669328543/1566221400478208
703782189975850711/229586362175619840 17129292668716885/45917272435123968
185633864206537589/60525155437100160 559451425267315/1513128885927504
49433494542684124021801/16115580231327152807040 19940214368256819781/44765500642575424464
19457706384506338621/6339029675145676800 1049813488770873467/1584757418786419200
493836708358978057/160745433443195520 108209769453848477/160745433443195520
4530194699353879651/1474484904811002240 118100242996754699/262130649744178176
2031683376428449907/660664100582808640 165162619069451393/247749037718553240
860434006246165783/279205436694839040 182243360156621941/279205436694839040
28749112076686579/9322522716565760 4407518801933491/6991892037424320
1328630599201589/430742771540160 56097498852961/172297108616064
2440052289759987781/790288172323200000 44503190019035009/65857347693600000
53625977648701609/17360999273933760 553307626831927/868049963696688
1137926559462133/368371074661120 3868310587957447/7846303890281856
31355117/10150080 1317247/4060032
186100758726476681/60222814090632960 16123034629802857/30111407045316480
97272252459150077/31464690923009280 1325411311232393/2097646061533952
601398992268959719/194472271244343360 6123260300911825/9723613562217168
7295142323877609/2354679744122560 270637173181415/706403923236768
117517526264977619/37916405365709760 11866215133178639/30333124292567808
313850760826111/101142718711040 9620193214049/15171407806656
28029784054433699/9029434080172416 34915464080108719/72235472641379328
20719495519995313/6673563283032320 2540316373518101/4004137969819392
2051095053295799013/660626600622406400 213630381321565453/495469950466804800
1961030319312520627/631483134900895680 12671254328422543/21049437830029856
214251190220196298867/68991504065142601280 8918524685745703645/20697451219542780384
48430966453836927/15594737880038080 16157859321786001/37427370912091392
964139121018583609/310449109402546560 23837507745496655/55190952782674944
1276325425210639889/410952700278332160 1478841865580693/3424605835652768
56499849582353/18190675640320 973053754876181/1536202557825024
6309362074268467768831/2027676250534878455040 4827550329217168345/11264868058527102528
30023118231168082499/9646027022111426560 908996867372392711/1446904053316713984
47591328195679363/15289434161672320 35080183444474007/73389283976027136
753105100826429339/241748040388556160 21259209466469521/42977429402409984
48604605816069013/15598859731100320 74719078948417609/149749053418563072
1584158381973889321/507679062469491840 203054137153879213/406143249975593472
2855310074503669269/913958095924548160 1211888786142069523/2193499430218915584
322884958408542151/103337532726047040 2869861517347471/5166876636302352
1027346090763284393/328728366621424320 574916933060156/1027276145691951
675112694103636793/215923847001769920 6009501323490055/10796192350088496
68680571548661592289/21958715100293237760 811447549198476217/1463914340019549184
485794378793564837/155224554701273280 4059417428505757/6898869097834368
435170469862674077/138890093244930880 203917512678161293/333336223787834112
666070070353/212431024320 6654608279/10621551216
917567535516283399/292241738470805760 8042090614334801/19482782564720384
5331281963337833619/1696519893793612160 532058575276303969/1017911936276167296
66846088317729467/21256256353742080 1459076893770949/3188438453061312
2368158062020924200389/752936814027644904960 15649989723083846393/37646840701382245248
4032330315648066887/1280090857847950080 129681320375234833/256018171569590016
457919694536586223/145297329482200320 327837159568745/807207386012224
42682331/13533440 1471063/2030016
4050922531039963311/1284122066571040000 1323263875158676597/1926183099856560000
196160179961883903/62164309673073920 3003793086257719/4662323225480544
660611473001816759/209324262427949760 125087629296866/218046106695781
5923238904629008113/1876477736496070400 3339059168946601687/5629433209488211200
9312830167055035531/2949931700142147840 508226439118502717/884979510042644352
1636860518302576013/518487768703160320 237707071572983971/414790214962528256
243466617532659935697/77117826045657946880 13165332133925507941/23135347813697384064
11892353331097368769/3766131840573765760 9732422588135361067/18077432834754075648
7897567329308193963/2500549029665419520 190681551791995907/375082354449812928
3838591064399962777/1215221140127031040 1778573290008596809/3645663420381093120
856678079103968151/271170217267692800 23751828445565539/50844415737692400
52309491210920667/16555822150568480 142470947820406537/317871785290914816
44029359508082857/13932933168756480 3541629479012383/8359759901253888
142614861587109/45125888802560 2774667934145/6768883320384
2015701774966122791/637716642673810440 776736552225675071/1360462171037462272
258304292884145959/81580384618237440 38491163941402009/81580384618237440
2079497189162742719/655903828391400960 12727008094270629/21863460946380032
8567573925252359663/2698181570978549120 1872189032179887475/3237817885174258944
4687803457140631171/1474484904811002240 73472858959120147/131065324872089088
145206809590739047/45651082592052480 3969094554162407/9130216518410496
762335486416553/239629016286720 86298737417/124806779316
983479260671614193/308975651135473920 26937461224000775/61795130227094784
1120282749378991457/351762550008257280 10135350999513669/23450836667217152
14016869321633561429/4397839465934213760 1000510208635495951/1759135786373685504
1214265894857/378110780160 309627127279/472638475200
130450333/40600320 1006081/2706688
32661622679238199849/10154219944209144960 2432770179587646211/4061687977683657984
61712224747/19179591168 31556746831/76718364672
50901693966756461/15791419992863040 5779466465617477/12633135994290432
189636918184075189/58702245983204160 8050648346211951/15653932262187776
748465773954010237/231594994169777280 32402641449999383/61758665111940608
