192
47543/383150 273688/191575
4078757/30736875 14760008/10245625
10692005669/70728372075 33651388136/23576124025
117955499/747612950 507992609/373806475
3248489/20452450 332996401/245429400
1317938685322/8070368976975 3660135232893/2690122992325
2707753/15563650 82517009/62254600
16483/92150 15999817/12163800
92000171/512950550 337101861/256475275
9944243/55326375 24263117/18442125
108900987596/605484623925 265612617899/201828207975
72012826/399579375 183129569/133193125
1201738119267/6603759580475 8737259557419/6603759580475
923063/4917900 25993189/19671600
12484245337/66125559600 360465314761/264502238400
65964791/348341550 675955468/522512325
996124209848/5211753165275 7133260718011/5211753165275
1450390159/7517570325 19843111801/15035140650
3394804079813/17474197169775 7944388704797/5824732389925
348180377603/1775017472400 202670194733/147918122700
169106408/850386875 1180470631/850386875
6159221/30736875 171143513/122947500
217653199/1075790625 498670531/358596875
12608295184343/60561941046900 6575725692498/5046828420575
23593579/113111700 12280014/9425975
835216972111/3782445259425 1736562742559/1260815086475
1387373467921/6203680349925 8130283645472/6203680349925
997693/4445025 5824376/4445025
22493595221/97956543675 44766244274/32652181225
99053/426650 257098/213325
290359/1229475 464804/409825
636197/2623850 6212733/5247700
1492272557/6096515475 33168101671/24386061900
15270235884/62373931825 74757581788/62373931825
71187/288575 314716/288575
864278/3499275 1501857/1166425
70222458686/282934549425 121719959984/94311516475
151107281497/603402945725 785938599404/603402945725
11803411/46720050 243288983/186880200
386402922922/1517856501975 670187869168/505952167325
452710592/1776591375 785212248/592197125
23741617/92210625 41189348/30736875
10324746169/39558634575 102799748941/79117269150
46291846/175814925 233613872/175814925
1607676603986/6090398633175 72926241090968/54813587698575
3987242144234/15052258674075 20061261303488/15052258674075
216350329652/813590742225 1082069932864/813590742225
50722916/190568625 253746712/190568625
62126378242/232360291725 311137107119/232360291725
1647937/6147375 16516693/12294750
224473/819650 13572257/9835800
12694139/45490575 21142441/15163525
860683/3026400 5576633/4035200
4589111/15983175 88795333/63932700
261992/909375 28005431/21825000
3692830969594/12645812655825 65253116821907/50583250623300
24081149/82374825 153991749/109833100
76711442/259419225 1097775467/778257675
26582/88725 42008/29575
506573918/1683151275 2382826091/1683151275
1606962/5327725 12261943/10655450
23178057209/76588177965 88091857112/76588177965
510178343/1683151275 3160601793/2244201700
124530329/408185700 39690669/34015475
750469/2458950 151597477/108193800
2658073/8700900 1029688/725075
14451661/46720050 86401061/62293400
36173260489/116169404325 2880128639/2038059725
21789290397/69906088225 793520653/662616950
3599907/11475100 3334381/2868775
1213289444/3844568325 5414000083/3844568325
27031618/84833775 344852528/254501325
45056701/140887425 987433717/845324550
32853901/102046425 48279544/34015475
9014161117078/27974205683025 37560711278746/27974205683025
2841369987/8804683475 10192032584/8804683475
991853/3067314 935453191/809770896
23830663557164/73193055494325 61584518982957/48795370329550
368727495869/1131086459841 435786032184/377028819947
71924813/220076025 1246378439/880304100
1299330753/3952033025 4487773846/3952033025
134911/409825 1048207/819650
920759093/2789678775 1293633767/929892925
16793547/50864375 115006733/101728750
3740271979002/11247111670975 25495956049753/22494223341950
13569767859206/40715486020425 55452885756592/40715486020425
43956904/131553825 114172777/87702550
8328348321/24825466673 27587090308/24825466673
13453129/39343200 200652887/157372800
849552039766274/2484237539826075 3421093199321893/2484237539826075
58431710132731/170159009058300 16259977961991/14179917421525
70300033/201633900 23007338/16802825
9502466819732/27177261677475 203595342768169/163063570064850
653062109874/1857081203575 4170054733561/3714162407150
3445810989322/9771738963225 18184493078697/13028985284300
42215139418361/119488721036925 890181232217819/637273178863600
10022281/28277925 26318353/18851950
16511598174013/46248982339269 35868652674141/30832654892846
643711/1796925 2010877/1796925
92599206400069/258077133879825 192724984271097/172051422586550
459077659341101/1279243182177675 86844073808033/77529889828950
2075079/5759375 5881253/5759375
1017/2821 5757/5642
20286091/56148633 19108681/18716211
25267556616223/69915156192999 23821233185743/23305052064333
18286528977/50596003645 56529767636/50596003645
148002776/409415175 2967145367/2456491050
3380906433619/9270974944172 2591317001578/2317743736043
7658069/20901075 7904736/6967025
939778345017/2540846395295 2826811993981/2540846395295
864609492207968/2337472193888775 1837355000695859/1558314795925850
225753568574399/609823335837612 56715467464696/50818611319801
300233997/810328300 226768574/202582075
50690327613827/135984325455225 51832339502537/45328108485075
52670133007/141083485725 1976193052837/1693001828700
369936509174/987584400075 98388419394983/84603063606425
3227641/8606325 3349821/2868775
10683181/28277925 130297673/113111700
107921687442563/283033627148025 109235694318553/94344542382675
1875541065556/4885064157675 36030668347627/29310384946050
7189316726558/18615115850025 6968526350148/6205038616675
5197426/13394175 39042139/26788350
149039999554/382940889825 3587709676001/3063527118600
893858593456016/2289735917657175 1692472744189883/1526490611771450
14013988/35654775 78409607/71309550
969831839/2417075100 226911046/201422925
501023956/1244905275 1011576903/829936850
132534921312124/326465834318325 240081257125937/217643889545550
18330291/44670925 112076499/89341850
468337936/1137264375 417186659/379088125
422019265418/1023830210625 751381135509/682553473750
11073771924728/26760058298025 259566556030243/214080466384200
