150
-575371/6286315 1892279/3771789
-113640/1257263 2006807/3771789
-913/10255 3455/6153
-5387995/64120413 6037585/11315367
-525836/6286315 1900274/3771789
-103665/1257263 2013947/3771789
-494561/6265805 146065/289191
-111/1465 3113/6153
-59735/836808 8545/18459
-230105/3231123 384559/923178
-6788432267/101930486553 18284692375/43684494237
-133242/2047423 362825/877467
-57352/898045 1587515/3771789
-86537165/1360302783 326360963/777315876
-209685710680/3363706056249 66392876047/160176478869
-199340/3231123 190082/461589
-370189/6265805 1586086/3759483
-66223947577/1121235352083 18427481530/43684494237
-2300168399/39126054597 2358464584/5589436371
-64697981533/1126991705812 50269055480/120749111337
-63578619052/1121235352083 18083792530/43684494237
-76200125/1360302783 82230812/194328969
-573/10255 2600/6153
-112732/2047423 358430/877467
-299759995/5487285573 109048399/261299313
-73585100/1360302783 322660373/777315876
-289299895/5487285573 106960774/261299313
-275/5271 613/1506
-880003/18858945 8056739/18858945
-785070452/17225451411 80473373459/189479965521
-8475700/192361239 9002813/21373471
-818788/18858945 7915619/18858945
-10467049/256481652 26527847/64120413
-757573/18858945 7774499/18858945
-61354/1806511 2156615/5419533
-567454156/28243632333 1735057601/4034804619
-755303924/39126054597 2404502209/5589436371
-1642484/94294725 40641487/94294725
-23481221/1360302783 83680576/194328969
-2213/153825 65134/153825
-432449772/63801604573 25802638495/63801604573
1046/319977 17339/45711
29/1491 369/994
38086/1847769 684869/1847769
715069/33011601 1610261/4305861
278935/12211521 1565448/4070507
182384570/7233541707 928837541/2411180569
46556/1802199 663274/1802199
24602/913983 111961/304661
2147808086/78012349569 3206415766/8668038841
1977688849/69473675796 6628052399/17368418949
1216199/42421071 4427158/11569383
226647145/7713359997 993333686/2571119999
2179647/72376297 29907519/72376297
1919791066/60708334239 2603867771/6745370471
899162/28333473 14599789/37777964
238602430/7485662373 965682499/2495220791
1329823/41219031 15956594/41219031
294210222/9069024209 10533633623/27207072627
60206/1802199 656449/1802199
229/6825 379/975
738500537/21483028812 6674333018/16112271609
31427/913983 221647/609322
67449167/1939806624 250747167/646602208
1588340729/45622529904 14177559731/34216897428
2725633061/78012349569 3171988191/8668038841
6583/185640 58153/139230
943721162/26004116523 2688725029/7092031779
3141810479/86296496916 8192059354/21574124229
470975/12582969 1853982/4194323
320728787/8538673773 1097704341/2846224591
294262420/7713359997 999396561/2571119999
2828022/72376297 30062219/72376297
1110737/28333473 14458739/37777964
3060331061/78012349569 3318418566/8668038841
346781833/8765341557 1122399419/2921780519
33266/836745 320822/836745
167554/4183725 1605628/4183725
319005725/7915891683 3503735222/7915891683
306217705/7485662373 971745374/2495220791
496448651/11405632476 3562170764/8554224357
326011150/7485662373 3318385057/7485662373
2113/45975 121687/321825
357251150/7713359997 1141257091/2571119999
3476397/72376297 30216919/72376297
387549200/7915891683 3518033597/7915891683
67/1365 222/455
425794625/7713359997 1146023216/2571119999
47638/836745 135463/278915
47504/834015 135019/278005
47734/836745 135589/278915
10841/167349 26968/55783
7771/119535 135092/278915
2648/25767 8492/25767
153125272/1404628813 1382874364/4213886439
6536/57009 129148/399063
13026523/113333892 173909/532084
64527422/531355143 399105132/1239828667
844/6601 6278/19803
355000/2587473 13173277/28462203
77544895/538225647 1749167836/3767579529
5049675/33755281 47131162/101265843
256576412/1400612437 1889756597/4201837311
94877/492852 1169456/2587473
252217118/1255859843 1710311483/3767579529
28108930/126060333 18422479/42020111
140513435/600262473 618241868/1400612437
9276665/37949604 16857031/37949604
1826/6825 124/195
11552305/43094513 3802065/6156359
985486/3668805 62744/104823
2017453/7425600 104147/212160
11732793/43094513 2899625/6156359
2001737/7337610 94723/209646
443141/1621998 101435/231714
1100542/4025571 1736740/4025571
436619/1595832 96665/227976
224983/810999 33655/115857
1117702/4025571 1136140/4025571
1879/6762 265/966
175/613 32468/115857
175/613 8253697/28590933
175/613 11852998/28178997
175/613 49628/115857
175/613 12437422/28590933
175/613 58057204/127532811
175/613 579857/1222935
175/613 63835826/129283539
175/613 76916149/127532811
175/613 152069/244587
1901/6468 265/924
482761/1621998 96665/231714
1216598/4084419 1736740/4084419
489679/1642872 101435/234696
2159203/7225680 94723/206448
12725907/42510937 2899625/6072991
2200607/7337610 104147/209646
541/1785 31/51
5647/13650 203/390
17847468/43094513 3108045/6156359
1520986/3668805 51359/104823
338173/810999 46990/115857
1679827/4025571 1589620/4025571
1412/3381 185/483
263/613 45404/115857
263/613 11518966/28590933
263/613 62982124/127532811
263/613 124349/244587
1423/3234 185/462
6323/14280 203/408
142
3  0 9 10
5  0 10 13 12 4
4  1 4 6 3
3  2 3 5
4  2 5 109 108
4  3 6 7 5
3  4 12 8
3  4 8 6
4  5 7 110 109
6  6 8 16 18 21 7
14  7 21 28 29 35 37 38 69 86 90 92 101 111 110
3  8 12 16
3  9 11 10
4  10 11 14 13
3  11 15 14
4  12 13 17 16
4  13 14 19 17
4  14 15 20 19
3  15 23 20
3  16 17 18
5  17 19 24 22 18
3  18 22 21
4  19 20 25 24
4  20 23 26 25
4  21 22 29 28
4  22 24 30 29
3  23 27 26
4  24 25 31 30
4  25 26 32 31
4  26 27 33 32
3  27 34 33
3  29 30 35
4  30 31 36 35
5  31 32 39 38 36
3  32 33 39
4  33 34 40 39
3  34 41 40
3  35 36 37
3  36 38 37
5  38 39 40 53 69
4  40 41 45 53
4  42 44 46 45
3  42 43 44
4  43 50 51 44
3  43 47 50
4  44 51 52 46
4  45 46 61 53
4  46 52 64 61
4  47 49 54 50
3  47 48 49
4  48 67 68 49
3  48 59 67
6  49 68 70 63 58 54
4  50 54 55 51
4  51 55 56 52
4  52 56 72 64
5  53 61 66 78 69
4  54 58 57 55
3  55 57 56
7  56 57 60 63 71 80 72
3  57 58 60
3  58 63 60
4  59 65 73 67
3  59 62 65
3  61 64 66
3  62 82 65
3  62 93 82
3  63 70 71
5  64 72 83 81 66
4  65 82 76 73
3  66 81 78
4  67 73 74 68
4  68 74 75 70
3  69 78 86
4  70 75 79 71
4  71 79 84 80
4  72 80 85 83
3  73 76 74
4  74 76 77 75
7  75 77 96 117 116 105 79
5  76 82 93 94 77
3  77 94 96
5  78 81 88 90 86
4  79 105 102 84
4  80 84 87 85
3  81 83 88
4  83 85 89 88
4  84 102 99 87
4  85 87 91 89
3  87 99 91
3  88 89 90
4  89 91 92 90
4  91 99 100 92
3  92 100 101
3  93 95 94
4  94 95 97 96
3  95 98 97
4  96 97 118 117
4  97 98 119 118
4  99 102 103 100
4  100 103 104 101
4  101 104 112 111
4  102 105 106 103
4  103 106 107 104
4  104 107 113 112
4  105 116 115 106
4  106 115 114 107
3  108 109 129
4  109 110 128 129
4  110 111 127 128
4  111 112 126 127
4  112 113 125 126
4  113 114 124 125
4  114 115 123 124
4  115 116 122 123
