182
16243913641/6463461420 60289203553/38780768520
80439949847/31647514600 45599831721/31647514600
1504979/579280 1012857/579280
2765531939497/1063837872240 44647509989/27277894160
4518107/1737840 234343/144820
762635392347/291958568200 534745521189/291958568200
7813177365297/2976780277315 42399808139483/23814242218520
738423253/280661160 8378447/4923880
858545463633271/326229973702620 362621190783577/217486649135080
202986473698497/77109442598240 12643232811589/7229010243585
54105085166843/20544929559960 4883678878922841/2924228307367640
32076260824403/12179727018810 243949370866273/146156724225720
64694196140779/24532525957680 3146751376507/1936778365080
276694445501/104870823720 58646480781/34956941240
1756179817/665375490 13370958797/7984505880
762062489899/288605116280 4107461653613/2597446046520
4204699528413/1591791636760 29979674227669/17509708004360
1252512824985969/473808531564680 807366234704717/473808531564680
5939450311/2244854820 2266011757/1496569880
1579667095180398/596822088127135 56502599156640769/33422036935119560
5735983261438567/2165687816694740 65621143341403133/38982380700505320
36957672673/13948772760 1829422697/1162397730
782079391/295143160 503280613/295143160
472413304963/178005213360 22874234719/14053043160
4855355920551/1829436622520 239475033841/140725894040
328256999/123537030 10389468649/6423925560
56694254072233/21336072530760 12137552347873/7112024176920
21775715341644241/8189006711187120 13336827581684053/8189006711187120
12662081712918639/4759568699226380 46705056511435577/28557412195358280
95383107923/35839474320 60767589049/35839474320
800650232949454271/300780687505857520 2205026874297373141/1353513093776358840
16071076793/6019877760 10165425019/6019877760
85628681/32059320 218505483/138923720
4092373625057/1531131100590 10450708323329/6124524402360
176511941/66037920 680617/434460
11420464246189/4271940040680 1217309816717/711990006780
2082607146941019/778313568879080 89351422570916201/56816890528172840
837172968287/312721701240 44574228843/26060141770
1543565727800427/576464559014240 338335354706191/216174209630340
2313546777195371/863710028234820 1001699438726167/575806685489880
417843/155960 4030919/2606760
401525285989/149802387280 786295559591/449407161840
1354399559/505276980 519427433/336851320
46955618424943/17509708004360 735677749701/397947909190
59346787309/22125092730 45532553991/29500123640
1109856706751841/413684716344770 2554740079855577/1654738865379080
1506711854509/561547732330 31187493090037/20215718363880
33041019831467/12305174664640 10765152340663/6152587332320
33515777483/12445541160 1752568547/1037128430
53060941/19695520 365186689/243732060
2344201/868920 1328953/868920
175047410071376587/64869247961168040 1669303925195038/900961777238445
9061435340459/3356275099008 1742511172719/1118758366336
55491115496371/20553058741020 1231756221013/790502259270
1121527954733/415311609960 53922070187/34609300830
10033710683063663/3715023408362760 1946006351293013/1238341136120920
2347831/868920 813749/434460
314621954237/116319713640 16631453893/9693309470
49616204361023627/18338787612809040 10005691721581027/6112929204269680
31329213977/11573346000 249370259503/150453498000
58541735857217/21616115888640 253390866553457/151312811220480
50345507358130979/18578424189566280 10512733889243529/6192808063188760
3117891790409/1149968176968 658169416119/383322725656
7278367332437/2683376586540 3486579152477/2012532439905
114373696499719/42153226037520 5657900156689/3242555849040
13421946117431/4946071637520 25968278068679/14838214912560
16371168987217/6031697144040 10152765543799/6534338572710
38325434278362781/14113370301124120 3276065713589856/1764171287640515
61621389405151/22685830846120 17816860973909/11342915423060
5390670292579817/1983926326619640 8328346139657269/4629161428779160
68573200219/25221539280 1721534278063/983640031920
58520090231/21510983520 28236229751/16133237640
75117019303853/27607699528032 51093307630979/27607699528032
1195074785359736219/439135125975441480 272036464042364769/146378375325147160
505310317/185659240 38808956803/22139864370
7550325171827/2773333701840 5194478555681/2773333701840
58748020379084509/21556261749910680 11283480677996159/7185420583303560
22725945553177/8333153078640 1051659578807/641011775280
141123316559/51665114280 722914560289/361655799960
36157553039731/13212777534840 873707947367/550532397285
1286834802553953/470041330208060 1721073840731723/940082660416120
18453418418749009/6734711197996080 11064422602773817/6734711197996080
11773218107759/4280629240680 1943199565493/1070157310170
1971152634313/715153310040 1155923820899/715153310040
5350294921/1939646670 2940846643/1939646670
